operation,parameter,result,result_description
Change,Brightness,Photon Sieve,"A device for focusing light using diffraction and interference. It consists of a flat sheet of material full of pinholes that are arranged in a pattern which is similar to the rings in a Fresnel zone plate, but a sieve brings light to much sharper focus than a zone plate."
Change,Brightness,Photonic Crystal,"Periodic optical (nano)structures that affect the propagation of electromagnetic waves, useful for controlling and manipulating the flow of light."
Change,Brightness,Piezoluminescence,Luminescence produced by the action of pressure on certain solids
Change,Brightness,Plasma,"A partially ionized gas, in which a certain proportion of electrons are free rather than being bound to an atom or molecule. The ability of the positive and negative charges to move somewhat independently makes the plasma electrically conductive so that it responds strongly to electromagnetic fields. Plasma therefore has properties quite unlike those of solids, liquids or gases and is considered to be a distinct state of matter."
Change,Brightness,Plenoptic Camera,(also called a light-field camera) A camera that uses a microlens array to capture 4D light field information about a scene. Such light field information can be used to improve the solution of computer graphics and vision-related problems.
Change,Brightness,Pockels Effect,"Produces birefringence in an optical medium induced by a constant or varying electric field. Used to make Pockels cells, which are voltage-controlled wave plates."
Change,Brightness,Polarisation,"A property of waves that describes the orientation of their oscillations. For transverse waves such as many electromagnetic waves, it describes the orientation of the oscillations in the plane perpendicular to the wave's direction of travel. The oscillations may be oriented in a single direction (linear polarisation), or the oscillation direction may rotate as the wave travels (circular or elliptical polarisation)."
Change,Brightness,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Change,Brightness,Pressure-sensitive Paint,"A method for measuring air pressure, usually in aerodynamic settings. It is paint which fluoresces in differing intensities depending on the external air pressure being applied to its surface."
Change,Brightness,Prism,"A transparent optical element with flat, polished surfaces that refract light. The exact angles between the surfaces depend on the application. The traditional geometrical shape is that of a triangular prism with a triangular base and rectangular sides, and in colloquial use 'prism' usually refers to this type."
Change,Brightness,Purkinje effect,The tendency for the peak luminance sensitivity of the human eye to shift toward the blue end of the color spectrum at low illumination levels.This effect introduces a difference in color contrast under different levels of illumination.
Change,Brightness,Pyrophoricity,A pyrophoric substance ignites spontaneously in air at or below 55 degrees centigrade. The creation of sparks from metals is based on the pyrophoricity of small metal particles. The sparking mechanism in cigarette lighters is an example. Some liquids and gases are phyrophoric.
Change,Brightness,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Change,Brightness,Radioluminescence,Luminescence produced in a material by the bombardment of ionizing radiation such as beta particles. Examples include the tritium-excited luminous paints used on watch dials and gun sights.
Change,Brightness,Rayleigh Scattering,The elastic scattering of light or other electromagnetic radiation by particles much smaller than the wavelength of the light.
Change,Brightness,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Change,Brightness,Refraction,"The change in direction of a wave due to a change in its speed. This is most commonly observed when a wave passes from one medium to another at any angle other than 90° or 0°. Refraction of light is the most commonly observed phenomenon, but any type of wave can refract when it interacts with a medium, for example when sound waves pass from one medium into another or when water waves move into water of a different depth."
Change,Brightness,Retroreflector,"A device or surface that reflects light, or other radiation, back to its source with minimum scattering."
Change,Brightness,Scattering,"A general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more localized non-uniformities in the medium through which they pass (includes deviation of reflected radiation from the angle predicted by the law of reflection)."
Change,Brightness,Scintillation,A flash of light produced in a transparent material by an ionization event.
Change,Brightness,Second Harmonic Generation,"(or frequency doubling) A nonlinear optical process, in which photons interacting with a nonlinear material are effectively combined to form new photons with twice the energy, and therefore twice the frequency and half the wavelength of the initial photons."
Change,Brightness,Shadow,"An area where direct light (or other radiation) from a source cannot reach due to obstruction by an object. The cross section of a shadow is a two-dimensional silhouette, or reverse projection of the object blocking the light (or radiation)."
Change,Brightness,Smoke,"A collection of airborne solid and liquid particulates and gases emitted when a material undergoes combustion or pyrolysis, together with the quantity of air that is entrained or otherwise mixed into the mass."
Change,Brightness,Sol,"A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint."
Change,Brightness,Solar Energy,Collection or use of energy from the Sun.
Change,Brightness,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Change,Brightness,Sonoluminescence,The emission of short bursts of light from imploding bubbles in a liquid when excited by sound.
Change,Brightness,Spatial Filter,An optical device which uses the principles of Fourier optics to alter the structure of a beam of coherent light or other electromagnetic radiation.
Change,Brightness,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Change,Brightness,Thermochromic Paint,"A paint based on colour-changing pigments. It involves the use of liquid crystals or leuco dye technology. After absorbing a certain amount of light or heat, the crystallic or molecular structure of the pigment reversibly changes in such a way that it absorbs and emits light at a different wavelength than at lower temperatures."
Change,Brightness,Thermochromism,The ability of substance to change color due to a change in temperature. Thermochromism is one of several types of chromism. The two basic approaches are based on liquid crystals and leuco dyes.
Change,Brightness,Thermoluminescence,"A form of luminescence that is exhibited by certain crystalline materials, such as some minerals, when previously absorbed energy from electromagnetic radiation or other ionizing radiation is re-emitted as light upon heating of the material. This phenomenon is distinct from that of black body radiation."
Change,Brightness,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Change,Brightness,Total Internal Reflection,"An optical phenomenon that occurs when a ray of light strikes a medium boundary at an angle larger than a particular critical angle with respect to the normal to the surface. If the refractive index is lower on the other side of the boundary, no light can pass through and all of the light is reflected. The critical angle is the angle of incidence above which the total internal reflection occurs."
Change,Brightness,Triboluminescence,"An optical phenomenon in which light is generated via the breaking of asymmetrical bonds in a crystal when that material is scratched, crushed, or rubbed. This is a variant of luminescence."
Change,Brightness,Voigt Effect,A magneto-optical phenomenon whereby the polarisation of light may be rotated when passed through a vapour cell immersed in a magnetic field directed perpendicular to the beam direction.
Change,Brightness,Waveguide,"A structure which guides waves, such as electromagnetic waves or sound waves. There are different types of waveguide for each type of wave: electromagnetic, optical or acoustic."
Change,Brightness,Waveguide (optics),"Waveguides used at optical frequencies are typically dielectric waveguides, structures in which a dielectric material with high permittivity, and thus high index of refraction, is surrounded by a material with lower permittivity. The structure guides optical waves by total internal reflection. The most common optical waveguide is optical fibre."
Change,Brightness,Zone Plate,"A device used to focus electromagnetic ratiation (including light), using diffraction instead of refraction. It consists of a set of radially symmetric rings which alternate between opaque and transparent. Incident radiation diffracts around the opaque zones which can be spaced so that the diffracted radiation constructively interferes at a desired focus, creating an image there."
Change,Colour,Ablation,"The removal of material from the surface of an object by vaporisation, chipping, or other erosive processes. The term occurs in space physics associated with atmospheric reentry, in glaciology, medicine and passive fire protection. In space vehicle design, ablation is used to both cool and protect mechanical parts and/or payloads that would otherwise be adversely affected by extremely high temperatures."
Change,Colour,Abrasion,"The process of scuffing, scratching, wearing down, marring, or rubbing away. It can be intentionally imposed in a controlled process using an abrasive."
Change,Colour,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Change,Colour,Absorptive Filter,A filter that absorbes some wavelengths of incident radiation whilst transmitting others.
Change,Colour,Anodising,"An electrolytic passivation process used to increase the thickness of the natural oxide layer on the surface of metal parts. Anodizing increases corrosion resistance and wear resistance, and provides better adhesion for paint primers and glues than bare metal. Anodic films can also be used for a number of cosmetic effects, either with thick porous coatings that can absorb dyes or with thin transparent coatings that add interference effects to reflected light."
Change,Colour,Antifoam,"A collection of stabilised antibubbles (antibubble: a droplet of liquid surrounded by a thin film of gas, as opposed to a gas bubble, which is a sphere of gas surrounded by a thin film of liquid)."
Change,Colour,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Change,Colour,Blanching,"Blanching is the whitening of metal, by various means, such as soaking in acid or by coating with tin. This term is commonly used in coinage, in which pieces are given a lustre and brilliance before images are struck into the surface."
Change,Colour,Bragg Diffraction,Diffraction from a three dimensional periodic structure such as atoms in a crystal. It is similar to what occurs when waves are scattered from a diffraction grating. Bragg diffraction is a consequence of interference between waves reflecting from different crystal planes.
Change,Colour,Bubble,"A globule of one substance in another, usually gas in a liquid. Due to the Marangoni effect, bubbles may remain intact when they reach the surface of the immersive substance."
Change,Colour,Cathodoluminescence,"An optical and electrical phenomenon whereby a beam of electrons is generated by an electron gun (e.g. cathode ray tube) and then impacts on a luminescent material such as a phosphor, causing the material to emit visible light. The most common example is the screen of a television."
Change,Colour,Chemical Vapour Deposition,"A chemical process used to produce high-purity, high-performance solid materials. The process is often used in the semiconductor industry to produce thin films. In a typical CVD process, the wafer (substrate) is exposed to one or more volatile precursors, which react and/or decompose on the substrate surface to produce the desired deposit. Frequently, volatile by-products are also produced, which are removed by gas flow through the reaction chamber."
Change,Colour,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Change,Colour,Cholesteric Liquid Crystal,(or chiral nematic liquid crystal) a type of liquid crystal with a helical structure (and is therefore chiral). They organize in layers with a director axis which varies with layers. The variation of the director axis tends to be periodic in nature. The period of this variation varies with temperature and it can also be affected by the boundary conditions.
Change,Colour,Christiansen Effect,A narrow bandpass or monochromatic optical filter which consists of an optical cell which is stuffed with a crushed substance (e.g. glass) and a (mostly organic) liquid.
Change,Colour,Coatings,"A covering that is applied to an object. The aim of applying coatings is to improve surface properties of a bulk material usually referred to as a substrate. One can improve amongst others appearance, adhesion, wetability, corrosion resistance, wear resistance, scratch resistance, etc.. They may be applied as liquids, gases or solids."
Change,Colour,Coffee Ring Effect,A pattern left by a puddle of particle-laden liquid after it evaporates. Named after the characteristic ring-like deposit along the perimeter of a spill of coffee. The pattern is due to capillary flow induced by the differential evaporation rates across the drop: liquid evaporating from the edge is replenished by liquid from the interior. The resulting edgeward flow can carry nearly all the dispersed material to the edge.
Change,Colour,Colloid,"A type of chemical mixture where one substance is dispersed evenly throughout another. The particles of the dispersed substance are only suspended in the mixture, unlike a solution, where they are completely dissolved within. This occurs because the particles in a colloid are larger than in a solution - small enough to be dispersed evenly and maintain a homogenous appearance, but large enough to scatter light and not dissolve."
Change,Colour,Colloidal Crystal,"A highly ordered array of particles which can be formed over a very long range (from a few millimeters to one centimeter) in length, and which appear analogous to their atomic or molecular counterparts. One of the finest natural examples of this phenomenon can be found in precious opal, where brilliant regions of pure spectral color result from close-packed domains of amorphous colloidal spheres of silicon dioxide (or silica)."
Change,Colour,Composite Materials,(or composites for short) are engineered materials made from two or more constituent materials with significantly different physical or chemical properties and which remain separate and distinct on a macroscopic level within the finished structure.
Change,Colour,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Change,Colour,Crystallisation,"The (natural or artificial) process of formation of solid crystals precipitating from a identical solution or melt, or more rarely deposited directly from a gas. Crystallisation is also a chemical solid-liquid separation technique, in which mass transfer of a solute from the liquid solution to a pure solid crystalline phase occurs."
Change,Colour,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Change,Colour,Dichroic Filter,"A colour filter based on the use of the principle of interference, typically used to selectively pass light of a small range of colours while reflecting other colours"
Change,Colour,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
