from,to,result,result_description
Acoustic,Kinetic,Vibration,Mechanical oscillations about an equilibrium point. The oscillations may be periodic such as the motion of a pendulum or random such as the movement of a tire on a gravel road.
Acoustic,Magnetic,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Acoustic,Magnetic,Piezomagnetism,"A phenomenon observed in some antiferromagnetic crystals. It is characterised by a linear coupling between the system's magnetic polarisation and mechanical strain. In a piezomagnetic, one may induce a spontaneous magnetic moment by applying physical stress, or a physical deformation by applying a magnetic field. Piezomagnetism differs from the related property of magnetostriction."
Acoustic,Magnetic,Villari Effect,(or Inverse Magnetostrictive Effect) The change of the magnetic susceptibility of a material when subjected to a mechanical stress.
Acoustic,Mechanical,Acoustic Cavitation,"Cavitation induced by an acoustic field. Microscopic gas bubbles which are generally present in a liquid will be forced to oscillate due to an applied acoustic field. If the acoustic intensity is sufficiently high, the bubbles will first grow in size, and then rapidly collapse. High power ultrasonics usually use the inertial cavitation of microscopic vacuum bubbles for treatment of surfaces, liquids and slurries."
Acoustic,Mechanical,Acoustic Radiation Pressure,A force on a particle suspended in the field of a sound wave arising from the scattering of the acoustic waves on the particle.
Acoustic,Mechanical,Beat (acoustics),"An interference between two sounds of slightly different frequencies, perceived as periodic variations in volume whose rate is the difference between the two frequencies"
Acoustic,Mechanical,Cavitation,"The formation of vapour bubbles in a flowing liquid in a region where the pressure of the liquid falls below its vapour pressure. Usually divided into two classes of behavior. Inertial (or transient) cavitation occurs when a void or bubble in a liquid rapidly collapses, producing a shock wave. Non-inertial cavitation is the process in which a bubble in a fluid is forced to oscillate in size or shape due to energy input, e.g. acoustic field."
Acoustic,Mechanical,Damping,"Damping is any effect, either deliberately engendered or inherent to a system, that tends to reduce the amplitude of oscillations of an oscillatory system."
Acoustic,Mechanical,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Acoustic,Mechanical,Faraday Wave,"(or Faraday Ripples) Nonlinear standing waves that appear on liquids enclosed by a vibrating receptacle. When the vibration frequency exceeds a critical value, the flat hydrostatic surface becomes unstable. The waves can take the form of stripes, close-packed hexagons, or even squares or quasiperiodic patterns."
Acoustic,Mechanical,Harmonic Oscillator,"A system which, when displaced from its equilibrium position, experiences a restoring force proportional to the displacement. Mechanical examples include pendula (with small angles of displacement) and masses connected to springs."
Acoustic,Mechanical,Interference,"The addition (superposition) of two or more waves that result in a new wave pattern. As most commonly used, the term interference usually refers to the interaction of waves which are correlated or coherent with each other, either because they come from the same source or because they have the same or nearly the same frequency."
Acoustic,Mechanical,Piezoelectric Effect,"Generation of electrical charge in certain solid materials (notably crystals, certain ceramics, and biological matter such as bone, DNA and various proteins) in response to applied mechanical strain. The piezoelectric effect is a reversible process in that materials also exhibit the reverse piezoelectric effect (the internal generation of a mechanical force resulting from an applied electrical field)."
Acoustic,Mechanical,Resonance,"The tendency of a system to oscillate with larger amplitude at some frequencies than at others. These are known as the system's resonant frequencies. At these frequencies, even small periodic driving forces can produce large amplitude oscillations, because the system stores vibrational energy."
Acoustic,Mechanical,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Acoustic,Mechanical,Surface Acoustic Wave,"(SAW) An acoustic wave traveling along the surface of a material having some elasticity, with an amplitude that typically decays exponentially with the depth of the substrate. This kind of wave is commonly used in devices called SAW devices in electronics circuits."
Acoustic,Mechanical,Ultrasonic Capillary Effect,"Abnormally high rise of a liquid and its penetration into capillary channels due to a high-intensity ultrasound field. Caused by the collapse of cavitation bubbles at the capillary inlet. A collaping bubble generates a liquid microjet, the penetration of which into capillary channel causes the height increment of the capillary liquid column. Summation of such increments lies behind the increase of a height and a velocity of the liquid rise in a capillary under the ultrasound action."
Acoustic,Mechanical,Ultrasonic Vibration,Vibration at ultrasonic frequencies.
Acoustic,Mechanical,Ultrasound,"Cyclic sound pressure with a frequency greater than the upper limit of human hearing. Although this limit varies from person to person, 20 kHz serves as a useful lower limit in describing ultrasound."
Acoustic,Mechanical,Vibration,Mechanical oscillations about an equilibrium point. The oscillations may be periodic such as the motion of a pendulum or random such as the movement of a tire on a gravel road.
Acoustic,Optical,Acousto-optic Effect,"A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
Acoustic,Optical,Mechanoluminescence,"Light emission resulting from any mechanical action on a solid. It can be produced through ultrasound, or through other means."
Acoustic,Optical,Piezoluminescence,Luminescence produced by the action of pressure on certain solids
Acoustic,Optical,Sonochemistry,"The effect of sonic waves and wave properties on chemical systems. Sonochemistry arises from acoustic cavitation: the formation, growth, and implosive collapse of bubbles in a liquid. This is demonstrated in phenomena such as ultrasound, sonication, sonoluminescence, and sonic cavitation."
Acoustic,Optical,Sonoluminescence,The emission of short bursts of light from imploding bubbles in a liquid when excited by sound.
Acoustic,Thermal,,
Chemical,Acoustic,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Chemical,Acoustic,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Chemical,Acoustic,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Chemical,Acoustic,Exothermic Reaction,"An exothermic reaction is a chemical reaction accompanied by the release of heat. In other words, the energy needed for the reaction to occur is less than the total energy released. As a result of this, the extra energy is released, usually in the form of heat."
Chemical,Acoustic,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Chemical,Acoustic,Hot Chocolate Effect,"The pitch heard from tapping a cup of hot liquid rises after addition of a soluble powder. May be observed by stirring chocolate powder into a mug of hot milk, tapping bottom of mug with a spoon while milk is in motion. Pitch of the taps will increase progressively. Subsequent stirring decreases the pitch. Due to the effect of bubble density on the speed of sound in the liquid. The note heard is the frequency of standing wave with fixed wavelength of liquid column height."
Chemical,Acoustic,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Chemical,Acoustic,Nuclear Fusion,The generation of power by the fusing together of atomic nuclei to form a heavier nucleus.
Chemical,Acoustic,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Chemical,Chemical,Absorption (physical),"A physical or chemical phenomenon or a process in which atoms, molecules, or ions enter some bulk phase - gas, liquid or solid material. This is a different from Adsorption, since the molecules are taken up by the volume, not by surface."
Chemical,Chemical,Adsorption,"A process that occurs when a gas or liquid solute accumulates on the surface of a solid or a liquid (adsorbent), forming a film of molecules or atoms (the adsorbate). Most industrial adsorbents fall into one of three classes: 1. Oxygen-containing compounds (e.g.silica gel and zeolites 2. Carbon-based compounds (e.g. activated carbon and graphite) 3. Polymer-based compounds"
Chemical,Chemical,Chemical Bonding,"The physical process responsible for the attractive interactions between atoms and molecules, and which confers stability to diatomic and polyatomic chemical compounds. In general, chemical bonding is associated with the sharing of electrons between the participating atoms. Molecules, crystals, and diatomic gases and most of the physical environment around us are held together by chemical bonds."
Chemical,Chemical,Chemisorption,"A type of adsorption whereby a molecule adheres to a surface through the formation of a chemical bond, as opposed to the Van der Waals forces which cause physisorption"
Chemical,Chemical,Coagulation,A complex process by which blood forms clots. It is an important part of hemostasis (the cessation of blood loss from a damaged vessel) whereby a damaged blood vessel wall is covered by a platelet and fibrin containing clot to stop bleeding and begin repair of the damaged vessel.
Chemical,Chemical,Crevice Corrosion,"Corrosion occurring in spaces having limited access to working fluid from the environment, such as gaps and contact areas between parts, under gaskets or seals, inside cracks and seams. Generally occurs due to high concentration of impurities in the crevice (e.g., chlorides, acid, or base), or differential electrolyte chemistry inside and outside the crevice: a single metal part being submerged in two different environments."
Chemical,Chemical,Decomposition (biological),The break down of tissue of a formerly living organism into simpler forms of matter.
Chemical,Chemical,Desorption,"A phenomenon whereby a substance is released from or through a surface. The process is the opposite of sorption (i.e adsorption and absorption). This occurs in a system being in the state of sorption equilibrium between bulk phase (fluid, i.e. gas or liquid solution) and an adsorbing surface (solid or boundary separating two fluids). When the concentration (or pressure) of substance in the bulk phase is lowered, some of the sorbed substance changes to the bulk state."
Chemical,Chemical,Enzyme,"Proteins that catalyze (i.e., increase the rates of) chemical reactions. Almost all chemical reactions in a biological cell need enzymes in order to occur at rates sufficient for life. Enzymes differ from most other catalysts in that they are highly specific for their substrates"
Chemical,Chemical,Ionisation,The physical process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions.
Chemical,Chemical,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Chemical,Electrical,Fractoluminescence,"The emission of light from the fracture (rather than rubbing) of a crystal. Depending upon the atomic and molecular composition of the crystal, when the crystal fractures a charge separation can occur making one side of the fractured crystal +ve charged and the other side -ve charged. As in triboluminescence, if the charge separation results in a large enough electric potential, a discharge across the gap and through the bath gas between the interfaces can occur."
Chemical,Electrical,Ionisation,The physical process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions.
Chemical,Electrical,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Chemical,Electrical,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Chemical,Electromagnetic,Bioluminescence,The production and emission of light by a living organism as the result of a chemical reaction
Chemical,Electromagnetic,Chemiluminescence,The emission of light (luminescence) with limited emission of heat as the result of a chemical reaction.
Chemical,Electromagnetic,Exothermic Reaction,"An exothermic reaction is a chemical reaction accompanied by the release of heat. In other words, the energy needed for the reaction to occur is less than the total energy released. As a result of this, the extra energy is released, usually in the form of heat."
Chemical,Electromagnetic,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Chemical,Electromagnetic,Fractoluminescence,"The emission of light from the fracture (rather than rubbing) of a crystal. Depending upon the atomic and molecular composition of the crystal, when the crystal fractures a charge separation can occur making one side of the fractured crystal +ve charged and the other side -ve charged. As in triboluminescence, if the charge separation results in a large enough electric potential, a discharge across the gap and through the bath gas between the interfaces can occur."
Chemical,Electromagnetic,Luminescence,"The generation of light that usually occurs at low temperatures, and is thus a form of cold body radiation. It can be caused by chemical reactions, electrical energy, subatomic motions, or stress on a crystal. This distinguishes luminescence from incandescence, which is light generated by high temperatures."
Chemical,Electromagnetic,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Chemical,Electromagnetic,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Chemical,Electromagnetic,Nuclear Fusion,The generation of power by the fusing together of atomic nuclei to form a heavier nucleus.
Chemical,Electromagnetic,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Chemical,Electromagnetic,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Chemical,Electromagnetic,Radioactive Decay,The process in which an unstable atomic nucleus spontaneously loses energy by emitting ionizing particles and radiation.
Chemical,Kinetic,Brownian Motion,The random movement of particles suspended in a liquid or gas
Chemical,Kinetic,Capillary Action,"(capillarity, capillary motion, wicking) The movement of a liquid relative to a substance in contact. A result of the adhesive intermolecular forces between the liquid and the substance being stronger (or weaker) than the cohesive intermolecular forces inside the liquid. Causes a concave (or concave) meniscus to form where the liquid touches the surface. Can cause raising or lowering (e.g. mercury in glass) of the liquid."
Chemical,Kinetic,Cheerio Effect,The tendency for small wettable floating objects to attract one another as a result of a combination of surface tension and buoyancy.
Chemical,Kinetic,Chemisorption,"A type of adsorption whereby a molecule adheres to a surface through the formation of a chemical bond, as opposed to the Van der Waals forces which cause physisorption"
Chemical,Kinetic,Coffee Ring Effect,A pattern left by a puddle of particle-laden liquid after it evaporates. Named after the characteristic ring-like deposit along the perimeter of a spill of coffee. The pattern is due to capillary flow induced by the differential evaporation rates across the drop: liquid evaporating from the edge is replenished by liquid from the interior. The resulting edgeward flow can carry nearly all the dispersed material to the edge.
Chemical,Kinetic,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Chemical,Kinetic,Conic Capillary Effect,"A conical capillary tube results in a meniusci having different curvature, This causes the liquid to flow in the direction of of the meniscus having the greater curvature."
Chemical,Kinetic,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Chemical,Kinetic,Deliquescence,"Deliquescent materials are substances (mostly salts) that have a strong affinity for moisture and will absorb relatively large amounts of water from the atmosphere if exposed to it, forming a liquid solution."
Chemical,Kinetic,Detonation,"Detonation involves a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it. Detonations are observed in both conventional solid and liquid explosives, as well as in reactive gases."
Chemical,Kinetic,Diffusiophoresis,A spontaneous motion of dispersed particles in a fluid induced by a diffusion gradient (concentration gradient) of molecular substances that are dissolved in the fluid. This gradient affects structure of the particles in an interfacial double layer and causes sliding motion of the fluid relative to the particle surface.
Chemical,Kinetic,Entropic Explosion,An explosion in which the reactants undergo a large change in volume without releasing a large amount of heat.
Chemical,Kinetic,Exothermic Reaction,"An exothermic reaction is a chemical reaction accompanied by the release of heat. In other words, the energy needed for the reaction to occur is less than the total energy released. As a result of this, the extra energy is released, usually in the form of heat."
Chemical,Kinetic,Explosion,"A sudden increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
Chemical,Kinetic,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Chemical,Kinetic,Lotus Leaf Effect,The leaves of the sacred lotus flower (Nelumbo) are characterized by a very high water repellency (superhydrophobicity). Dirt particles are picked up by water droplets due to a complex micro- and nanoscopic architecture of the surface which enables minimisation of adhesion.
Chemical,Kinetic,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Chemical,Kinetic,Nuclear Fission,"The splitting of the nucleus of an atom into parts (lighter nuclei) often producing free neutrons and other smaller nuclei, which may eventually produce photons (in the form of gamma rays). Fission of heavy elements is an exothermic reaction which can release large amounts of energy both as electromagnetic radiation and as kinetic energy of the fragments (heating the bulk material where fission takes place)."
Chemical,Kinetic,Nuclear Fusion,The generation of power by the fusing together of atomic nuclei to form a heavier nucleus.
Chemical,Kinetic,Nucleation,"The extremely localised budding of a distinct thermodynamic phase. Some examples of phases that may form via nucleation in liquids are gaseous bubbles, crystals or glassy regions. Creation of liquid droplets in saturated vapor is also characterized by nucleation. Most nucleation processes are physical, rather than chemical, but a few exceptions do exist (e.g. electrochemical nucleation)."
Chemical,Kinetic,Onnes Effect,The ability of superfluid liquids to cross obstacles that lie at a higher level. The Onnes Effect is enabled by the capillary forces dominating the gravity and viscous forces.
Chemical,Kinetic,Osmosis,"A physical process in which a solvent moves, without input of energy, across a semipermeable membrane (permeable to the solvent, but not the solute) separating two solutions of different concentrations.Osmosis releases energy, and can be made to do work."
Chemical,Kinetic,Osmotic Pressure,Osmotic pressure is the pressure applied by a solution to prevent the inward flow of water across a semipermeable membrane.
Chemical,Kinetic,Ostwald Ripening,"An observed phenomenon in solid solutions or liquid sols that describes the change of an inhomogeneous structure over time, i.e., small crystals or sol particles dissolve, and redeposit onto larger crystals or sol particles. Occurs because larger particles are more energetically favored than smaller particles. This stems from the fact that molecules on the surface of a particle are energetically less stable than the ones in the interior. Ostwald ripening is also observed in liquid-liquid systems, causing diffusion of monomers (i.e. individual molecules or atoms) from smaller droplets to larger droplets due to greater solubility of the single monomer molecules in the larger monomer droplets."
Chemical,Kinetic,Reverse Osmosis,The process of forcing a solvent from a region of high solute concentration through a semipermeable membrane to a region of low solute concentration by applying a pressure in excess of the osmotic pressure. The result is that the solute is retained on the pressurized side of the membrane and the pure solvent is allowed to pass to the other side. It is most often applied as a filter.
Chemical,Kinetic,Wetting,"The ability of a liquid to maintain contact with a solid surface, resulting from intermolecular interactions when the two are brought together. The degree of wetting is determined by a force balance between adhesive and cohesive forces. Adhesive forces between a liquid and solid cause a liquid drop to spread across the surface. Cohesive forces within the liquid cause the drop to ball up and avoid contact with the surface."
Chemical,Magnetic,,
Chemical,Mechanical,Capillary Action,"(capillarity, capillary motion, wicking) The movement of a liquid relative to a substance in contact. A result of the adhesive intermolecular forces between the liquid and the substance being stronger (or weaker) than the cohesive intermolecular forces inside the liquid. Causes a concave (or concave) meniscus to form where the liquid touches the surface. Can cause raising or lowering (e.g. mercury in glass) of the liquid."
Chemical,Mechanical,Capillary Pressure,The difference in pressure across the interface between two immiscible fluids. This pressure difference is proportional to the surface tension and inversely proportional to the effective radius of the interface. It also depends on the wetting angle of the liquid on the surface of the capillary.
Chemical,Mechanical,Cheerio Effect,The tendency for small wettable floating objects to attract one another as a result of a combination of surface tension and buoyancy.
Chemical,Mechanical,Cohesion,"The action or property of like molecules sticking together, being mutually attractive. This is an intrinsic property of a substance that is caused by the shape and structure of its molecules which makes the distribution of orbiting electrons irregular when molecules get close to one another, creating electrical attraction that can maintain a macroscopic structure such as a water drop."
Chemical,Mechanical,Colloid,"A type of chemical mixture where one substance is dispersed evenly throughout another. The particles of the dispersed substance are only suspended in the mixture, unlike a solution, where they are completely dissolved within. This occurs because the particles in a colloid are larger than in a solution - small enough to be dispersed evenly and maintain a homogenous appearance, but large enough to scatter light and not dissolve."
