from,to,result,result_description
Acoustic,Thermal,Thermoacoustic Engine,"Thermoacoustic devices which use high-amplitude sound waves to pump heat from one place to another, or use a heat difference to induce high-amplitude sound waves. Can be divided into standing wave and travelling wave devices. These two types can again be divided in two thermodynamic classes, a prime mover (or simply heat engine), and a heat pump. The prime mover creates work using heat and a heat pump creates or moves heat using work."
Chemical,Acoustic,,
Chemical,Chemical,,
Chemical,Electrical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Chemical,Electrical,Atomic Battery,A device which uses the emissions from a radioactive isotope to generate electricity.
Chemical,Electrical,Battery (electricity),A combination of two or more electrochemical cells which store chemical energy which can be converted into electrical energy.
Chemical,Electrical,Betavoltaics,"Generators of electrical current, in effect a form of battery, which use energy from a radioactive source emitting beta particles (electrons). A common source used is the hydrogen isotope, tritium. Unlike most nuclear power sources betavoltaics use a non-thermal conversion process. Betavoltaics are particularly well-suited to low-power electrical applications where long life of the energy source is needed."
Chemical,Electrical,Electrical Accumulator,An apparatus for stroring electrical energy.
Chemical,Electrical,Flow Battery,A form of rechargeable battery in which electrolyte containing one or more dissolved electroactive species flows through a power cell / reactor that converts chemical energy to electricity. Additional electrolyte is stored externally and typically pumped through the cell(s) of the reactor. Can be rapidly 'recharged' by replacing the electrolyte (analogous to refilling a fuel tank) while recovering the spent material for re-energisation.
Chemical,Electrical,Fuel Cell,"An electrochemical conversion device. It produces electricity from fuel (on the anode side) and an oxidant (on the cathode side), which react in the presence of an electrolyte. The reactants flow into the cell, and the reaction products flow out of it, while the electrolyte remains within it. Fuel cells can operate virtually continuously as long as the necessary flows are maintained."
Chemical,Electrical,Microbial Fuel Cell,A microbial fuel cell (MFC) or biological fuel cell is a bio-electrochemical system that drives a current by mimicking bacterial interactions found in nature.
Chemical,Electromagnetic,Argon Flash,"A method for generating very short and extremely bright flashes of light using a shock wave in argon or other suitable noble gas. The device consists of a vessel filled with argon and a solid explosive charge. The explosion generates a shock wave, which heats the gas to very high temperature (over 104 K). The gas then emits a flash of intense visible and ultraviolet radiation. The amount of explosive can control the intensity of the flash."
Chemical,Electromagnetic,Explosive Lens,A device composed of several explosive charges that are shaped in such a way as to change the shape of the detonation wave passing through it; conceptually similar to the effect of an optical lens on light
Chemical,Electromagnetic,Farnsworth-Hirsch Fusor,A relativly simple nuclear fusion device based on inertial electrostatic confinement.
Chemical,Electromagnetic,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Chemical,Electromagnetic,Maser,A device that produces coherent electromagnetic waves through amplification by stimulated emission. A laser is an optical maser.
Chemical,Electromagnetic,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Chemical,Kinetic,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Chemical,Kinetic,Aeolipile,"A rocket-like jet engine consisting of an air-tight chamber (usually a sphere or cylinder) rotating on a bearing of some kind, with bent or curved nozzles projecting from it (tipjets), through which steam is expelled perpendicular to the bearing axis. The resulting thrust due to the rocket principle causes a torque which makes the device spin (Newton's third law)."
Chemical,Kinetic,Atkinson Cycle,A type of internal combustion engine invented by James Atkinson in 1882. The Atkinson cycle is designed to provide efficiency at the expense of power and is beginning to see applications in modern hybrid electric applications.
Chemical,Kinetic,Brayton Cycle,"A thermodynamic cycle that describes the workings of the gas turbine engine, the basis of the jet engine and others"
Chemical,Kinetic,Brownian Motor,"A nano-scale or molecular device by which thermally activated processes (chemical reactions) are controlled and used to generate directed motion in space and to do mechanical or electrical work. Because this type of motor is so strongly dependent on random thermal noise, Brownian motors are feasible only at the nanometer scale."
Chemical,Kinetic,Chemical Transport Reactions,"A process for purification and crystallisation of non-volatile solids. Entails the reversible conversion of nonvolatile elements and chemical compounds into volatile derivatives. The volatile derivative migrates throughout a sealed reactor, typically a sealed, evacuated glass tube heated in a tube furnace. Elsewhere in the tube where the temperature is held at a different temperature, the volatile derivative reverts to the parent solid and the transport agent is released."
Chemical,Kinetic,Chemical Vapour Deposition,"A chemical process used to produce high-purity, high-performance solid materials. The process is often used in the semiconductor industry to produce thin films. In a typical CVD process, the wafer (substrate) is exposed to one or more volatile precursors, which react and/or decompose on the substrate surface to produce the desired deposit. Frequently, volatile by-products are also produced, which are removed by gas flow through the reaction chamber."
Chemical,Kinetic,Chromatography,"A family of laboratory techniques for the separation of mixtures. It involves passing a mixture dissolved in a 'mobile phase' through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated. Chromatography may be preparative or analytical."
Chemical,Kinetic,Coprecipitation,The carrying down by a precipitate of substances normally soluble under the conditions employed.
Chemical,Kinetic,Desiccant Material,A hygroscopic substance that induces or sustains a state of dryness (desiccation) in its local vicinity
Chemical,Kinetic,Desiccation,The process of extreme drying.
Chemical,Kinetic,Diesel Cycle,"The thermodynamic cycle which approximates the pressure and volume of the combustion chamber of the Diesel engine. It is characterised by having constant pressure during the 'combustion' phase. This is in contrast to the Otto cycle which is an idealisation of the process in a petrol engine, which approximates the real behavior with constant volume during that phase."
Chemical,Kinetic,Explosive Lens,A device composed of several explosive charges that are shaped in such a way as to change the shape of the detonation wave passing through it; conceptually similar to the effect of an optical lens on light
Chemical,Kinetic,Explosive Welding,"A solid state process where welding is accomplished by accelerating one of the components at extremely high velocity through the use of chemical explosives. Explosion welding can produce a bond between two metals that cannot necessarily be welded by conventional means. The process does not melt either metal, instead it plasticises the surfaces of both metals, causing them to come into intimate contact sufficient to create a weld."
Chemical,Kinetic,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
Chemical,Kinetic,Misznay-Schardin Effect,A characteristic of the detonation of a broad sheet of explosive. The explosive blast expands directly away from (perpendicular to) the surface of an explosive (unlike the blast from a rounded explosive charge)
Chemical,Kinetic,Pulse Jet,"A type of jet engine in which combustion occurs in pulses. Pulse jet engines can be made with few or no moving parts and are capable of running statically (i.e. there is no need to have air forced into the inlet, such as by forward motion)."
Chemical,Kinetic,Rocket,"A jet engine that uses only propellant mass for forming its high speed propulsive jet. Rocket engines are reaction engines. Since they need no external material to form their jet, rocket engines can be used for spacecraft propulsion as well as terrestrial uses, such as missiles. Most rocket engines are internal combustion engines, although non combusting forms also exist."
Chemical,Kinetic,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Chemical,Kinetic,Surfactant,"Wetting agents that lower the surface tension of a liquid, allowing easier spreading, and lower the interfacial tension between two liquids. Surfactants may act as: detergents, wetting agents, emulsifiers, foaming agents, and dispersants."
Chemical,Kinetic,Voitenko Compressor,A shaped charge adapted from its original purpose of piercing thick steel armour to the task of accelerating shock waves. It slightly resembles a wind tunnel.
Chemical,Magnetic,,
Chemical,Mechanical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Chemical,Mechanical,Adhesive,"A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
Chemical,Mechanical,Aeolipile,"A rocket-like jet engine consisting of an air-tight chamber (usually a sphere or cylinder) rotating on a bearing of some kind, with bent or curved nozzles projecting from it (tipjets), through which steam is expelled perpendicular to the bearing axis. The resulting thrust due to the rocket principle causes a torque which makes the device spin (Newton's third law)."
Chemical,Mechanical,Brayton Cycle,"A thermodynamic cycle that describes the workings of the gas turbine engine, the basis of the jet engine and others"
Chemical,Mechanical,Brownian Motor,"A nano-scale or molecular device by which thermally activated processes (chemical reactions) are controlled and used to generate directed motion in space and to do mechanical or electrical work. Because this type of motor is so strongly dependent on random thermal noise, Brownian motors are feasible only at the nanometer scale."
Chemical,Mechanical,Coprecipitation,The carrying down by a precipitate of substances normally soluble under the conditions employed.
Chemical,Mechanical,Cyanoacrylate,"The generic name for cyanoacrylate based fast-acting adhesives such as methyl 2-cyanoacrylate, ethyl-2-cyanoacrylate (commonly sold under trade names like SuperGlue), and n-butyl cyanoacrylate (used in veterinary and skin glues)."
Chemical,Mechanical,Desiccant Material,A hygroscopic substance that induces or sustains a state of dryness (desiccation) in its local vicinity
Chemical,Mechanical,Desiccation,The process of extreme drying.
Chemical,Mechanical,Diesel Cycle,"The thermodynamic cycle which approximates the pressure and volume of the combustion chamber of the Diesel engine. It is characterised by having constant pressure during the 'combustion' phase. This is in contrast to the Otto cycle which is an idealisation of the process in a petrol engine, which approximates the real behavior with constant volume during that phase."
Chemical,Mechanical,Explosive Lens,A device composed of several explosive charges that are shaped in such a way as to change the shape of the detonation wave passing through it; conceptually similar to the effect of an optical lens on light
Chemical,Mechanical,Explosive Welding,"A solid state process where welding is accomplished by accelerating one of the components at extremely high velocity through the use of chemical explosives. Explosion welding can produce a bond between two metals that cannot necessarily be welded by conventional means. The process does not melt either metal, instead it plasticises the surfaces of both metals, causing them to come into intimate contact sufficient to create a weld."
Chemical,Mechanical,Microfluidic Pump,Devices that can control and manipulate small fluid volumes. Typically this term refers to pumps with functional dimensions in the micrometer range.
Chemical,Mechanical,Misznay-Schardin Effect,A characteristic of the detonation of a broad sheet of explosive. The explosive blast expands directly away from (perpendicular to) the surface of an explosive (unlike the blast from a rounded explosive charge)
Chemical,Mechanical,Pulse Jet,"A type of jet engine in which combustion occurs in pulses. Pulse jet engines can be made with few or no moving parts and are capable of running statically (i.e. there is no need to have air forced into the inlet, such as by forward motion)."
Chemical,Mechanical,Rocket,"A jet engine that uses only propellant mass for forming its high speed propulsive jet. Rocket engines are reaction engines. Since they need no external material to form their jet, rocket engines can be used for spacecraft propulsion as well as terrestrial uses, such as missiles. Most rocket engines are internal combustion engines, although non combusting forms also exist."
Chemical,Mechanical,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Chemical,Mechanical,Surfactant,"Wetting agents that lower the surface tension of a liquid, allowing easier spreading, and lower the interfacial tension between two liquids. Surfactants may act as: detergents, wetting agents, emulsifiers, foaming agents, and dispersants."
Chemical,Mechanical,Voitenko Compressor,A shaped charge adapted from its original purpose of piercing thick steel armour to the task of accelerating shock waves. It slightly resembles a wind tunnel.
Chemical,Optical,Argon Flash,"A method for generating very short and extremely bright flashes of light using a shock wave in argon or other suitable noble gas. The device consists of a vessel filled with argon and a solid explosive charge. The explosion generates a shock wave, which heats the gas to very high temperature (over 104 K). The gas then emits a flash of intense visible and ultraviolet radiation. The amount of explosive can control the intensity of the flash."
Chemical,Optical,Explosive Lens,A device composed of several explosive charges that are shaped in such a way as to change the shape of the detonation wave passing through it; conceptually similar to the effect of an optical lens on light
Chemical,Optical,Farnsworth-Hirsch Fusor,A relativly simple nuclear fusion device based on inertial electrostatic confinement.
Chemical,Optical,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Chemical,Optical,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Chemical,Thermal,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Chemical,Thermal,Adhesive,"A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
Chemical,Thermal,Anaerobic Digestion,A series of processes in which microorganisms break down biodegradable material in the absence of oxygen. It is widely used to treat wastewater sludges and organic wastes because it provides volume and mass reduction of the input material.
Chemical,Thermal,Calorimetry,The science of measuring the heat of chemical reactions or physical changes. Calorimetry usually involves the use of a calorimeter
Chemical,Thermal,Composting,"The aerobic decomposition of biodegradable organic matter, producing compost. The decomposition is performed primarily by facultative and obligate aerobic bacteria, yeasts and fungi, helped in the cooler initial and ending phases by a number of larger organisms, such as springtails, ants, nematodes and oligochaete worms."
Chemical,Thermal,Desiccant Material,A hygroscopic substance that induces or sustains a state of dryness (desiccation) in its local vicinity
Chemical,Thermal,Desiccation,The process of extreme drying.
Chemical,Thermal,Explosive Lens,A device composed of several explosive charges that are shaped in such a way as to change the shape of the detonation wave passing through it; conceptually similar to the effect of an optical lens on light
Chemical,Thermal,Farnsworth-Hirsch Fusor,A relativly simple nuclear fusion device based on inertial electrostatic confinement.
Chemical,Thermal,Misznay-Schardin Effect,A characteristic of the detonation of a broad sheet of explosive. The explosive blast expands directly away from (perpendicular to) the surface of an explosive (unlike the blast from a rounded explosive charge)
Chemical,Thermal,Pulse Jet,"A type of jet engine in which combustion occurs in pulses. Pulse jet engines can be made with few or no moving parts and are capable of running statically (i.e. there is no need to have air forced into the inlet, such as by forward motion)."
Chemical,Thermal,Shaped Charge,"An explosive charge shaped to focus the effect of the explosive's energy. Various types are used to cut and form metal, initiate nuclear weapons, in the oil and gas industry and to penetrate armour. A typical modern lined shaped charge can penetrate armor steel to a depth of 7 or more times the diameter of the charge's cone, though greater depths of 10 times and above are now feasible."
Electrical,Acoustic,Electroactive Polymer,(or EAP) A polymer that exhibits a change in size or shape when stimulated by an electric field. The most common applications of this type of material are in actuators and sensors. A typical characteristic property of an EAP is that it will undergo a large amount of deformation while sustaining large forces.
Electrical,Acoustic,Electromagnet,"A type of magnet whose magnetic field is produced by the flow of electric current. The magnetic field disappears when the current ceases. Electromagnets are very widely used as components of other electrical devices, such as motors, generators, relays, loudspeakers, hard disks, MRI machines, scientific instruments, and magnetic separation equipment, as well as being employed as industrial lifting electromagnets for picking up and moving heavy iron objects like scrap iron."
Electrical,Acoustic,Electromechanical Film,"A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator."
Electrical,Acoustic,Microelectromechanical Systems,"(MEMS) is the technology of the very small, and merges at the nano-scale into nanoelectromechanical systems (NEMS) and nanotechnology. MEMS are made up of components between 1 to 100 micrometers in size (i.e. 0.001 to 0.1 mm) and MEMS devices generally range in size from a 20 micrometers (20 millionth of a meter) to a millimeter."
Electrical,Acoustic,Sonomicrometry,A technique for measuring the distance between piezoelectric crystals based on the speed of acoustic signals through the medium they are embedded in. One crystal is used to generate a sound pulse which travels across the gap and is detected by the other crystal - the time taken is used to calculate the distance between the crystals.
Electrical,Acoustic,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Electrical,Chemical,3D Printing,"The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material."
Electrical,Chemical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Electrical,Chemical,Anodising,"An electrolytic passivation process used to increase the thickness of the natural oxide layer on the surface of metal parts. Anodizing increases corrosion resistance and wear resistance, and provides better adhesion for paint primers and glues than bare metal. Anodic films can also be used for a number of cosmetic effects, either with thick porous coatings that can absorb dyes or with thin transparent coatings that add interference effects to reflected light."
Electrical,Chemical,Antifuse,"An electrical device that performs the opposite function to a fuse. Whereas a fuse starts with a low resistance and is designed to permanently break an electrically conductive path (typically when the current through the path exceeds a specified limit), an antifuse starts with a high resistance and is designed to permanently create an electrically conductive path (typically when the voltage across the antifuse exceeds a certain level)."
Electrical,Chemical,Arc Evaporation,"A high current, low voltage electric arc on the surface of a cathode gives rise to a small highly energetic emitting area (a cathode spot) at which the high temperature results in a high velocity jet of vapourised cathode material, leaving a crater. The cathode spot is only active for a short period of time, then it self-extinguishes and re-ignites in a new area close to the previous crater causing apparent motion of the arc."
Electrical,Chemical,Battery (electricity),A combination of two or more electrochemical cells which store chemical energy which can be converted into electrical energy.
Electrical,Chemical,Cathodic Arc Deposition,"Cathodic arc deposition or Arc-PVD is a physical vapour deposition technique in which an electric arc is used to vapourize material from a cathode target. The vapourized material then condenses on a substrate, forming a thin film. The technique is can be used to deposit a metallic, ceramic, and composite films."
Electrical,Chemical,Cholesteric Liquid Crystal,(or chiral nematic liquid crystal) a type of liquid crystal with a helical structure (and is therefore chiral). They organize in layers with a director axis which varies with layers. The variation of the director axis tends to be periodic in nature. The period of this variation varies with temperature and it can also be affected by the boundary conditions.
Electrical,Chemical,Electrical Accumulator,An apparatus for stroring electrical energy.
Electrical,Chemical,Electromethanogenesis,Electromethanogenesis is a form of electrofuel production where methane is produced by direct biological conversion from electrical current and carbon dioxide
Electrical,Chemical,Electrophoretic Deposition,"A term for a broad range of industrial processes which includes electrocoating, cathodic electrodeposition, and electrophoretic coating, or electrophoretic painting. A characteristic feature of this process is that colloidal particles suspended in a liquid medium migrate under the influence of an electric field (electrophoresis) and are deposited onto an electrode."
Electrical,Chemical,Electroplating,"The process of using electrical current to reduce cations of a desired material from a solution and coat a conductive object with a thin layer of the material, such as a metal. Primarily used to bestow a desired property (e.g., abrasion and wear resistance, corrosion protection, lubricity, aesthetic qualities, etc.) to a surface that otherwise lacks that property. Also used to build up thickness on undersized parts."
Electrical,Chemical,ESAVD,"(Electrostatic Spray Assisted Vapour Deposition) is a technique to deposit both thin and thick layers of a coating onto various substrates. In simple terms chemical precursors are sprayed across an electrostatic field towards a heated substrate, the chemicals undergo a controlled chemical reaction and are deposited on the substrate as the required coating."
Electrical,Chemical,Spark Plasma Sintering,"(or Field Assisted Sintering Technique (FAST) or Pulsed Electric Current Sintering (PECS)). The main characteristic of the Spark Plasma Sintering (SPS) is that the pulsed DC current directly passes through the graphite die, as well as the powder compact, in case of conductive samples. Therefore, the heat is generated internally which facilitates a very high heating or cooling rate (up to 1000k/min), hence the sintering process generally is very fast (within a few minutes)."
Electrical,Chemical,Welding,"A process for joining materials, usually metals or thermoplastics, typically by melting the workpieces and adding a filler material to form a pool of molten material (the weld pool) that cools to become a strong joint, with pressure sometimes used in conjunction with heat, or by itself, to produce the weld (in contrast with soldering and brazing, which involve melting a lower-melting-point material between the workpieces, without melting the workpieces."
Electrical,Electrical,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Electrical,Electrical,Anisotropy,"The property of being directionally dependent. It can be defined as a difference in a physical property (absorbance, refractive index, density, etc.) for some material when measured along different axes. An example is the light coming through a polarising lens."
Electrical,Electrical,Antifuse,"An electrical device that performs the opposite function to a fuse. Whereas a fuse starts with a low resistance and is designed to permanently break an electrically conductive path (typically when the current through the path exceeds a specified limit), an antifuse starts with a high resistance and is designed to permanently create an electrically conductive path (typically when the voltage across the antifuse exceeds a certain level)."
Electrical,Electrical,Diode,"A device that allows an electric current to pass in one direction (called the forward biased condition) and blocks the current in the opposite direction (the reverse biased condition). Real diodes do not display such a perfect on-off directionality but have a more complex non-linear electrical characteristic, which depends on the particular type of diode technology. Diodes also have many other functions in which they are not designed to operate in this on-off manner."
Electrical,Electrical,Dopants,A trace impurity element inserted into a substance (in very low concentrations) in order to alter the electrical or optical properties of the substance.
Electrical,Electrical,Electrical Accumulator,An apparatus for stroring electrical energy.
Electrical,Electrical,Electrodynamic Bearing,"A system providing contactless electrodynamic suspension of rotating shafts based on the induction of eddy currents in a rotating conductor. When an electrically conducting material is moving in a magnetic field, a current will be generated in the material that counters the change in the magnetic field (known as Lenz' Law). This generates a current that will result in a magnetic field that is oriented opposite to the one from the magnet. The electrically conducting material is thus acting as a magnetic mirror."
Electrical,Electrical,Filter (electronic),"Electronic circuits which perform signal processing functions, specifically intended to remove unwanted signal components and/or enhance wanted ones."
Electrical,Electrical,Inductor,"A passive electrical component that can store energy in a magnetic field created by the electric current passing through it. Typically an inductor is a conducting wire shaped as a coil, the loops helping to create a strong magnetic field inside the coil due to Ampere's Law. Due to the time-varying magnetic field inside the coil, a voltage is induced, according to Faraday's law of electromagnetic induction, which by Lenz's Law opposes the change in current that created it."
Electrical,Electrical,Magnetic Amplifier,"An electromagnetic device for amplifying electrical signals. It makes use of magnetic saturation of the core, a non-linear property of a certain class of transformer cores. It is a static device with no moving parts, no wear-out mechanism and has a good tolerance to mechanical shock and vibration. It requires no warm-up time."
Electrical,Electrical,Organic Light-emitting Diode,(or Light Emitting Polymer (LEP) or Organic Electro Luminescence (OEL)) A Light Emitting Diode (LED) whose emissive electroluminescent layer is composed of a film of organic compounds. The layer usually contains a polymer substance that allows suitable organic compounds to be deposited. They are deposited in rows and columns onto a flat carrier by a simple 'printing' process. The resulting matrix of pixels can emit light of different colors.
Electrical,Electrical,Relay,"An electrical switch that opens and closes under the control of another electrical circuit. In the original form, the switch is operated by an electromagnet to open or close one or many sets of contacts. Because a relay is able to control an output circuit of higher power than the input circuit, it can be considered to be, in a broad sense, a form of an electrical amplifier."
Electrical,Electrical,Shunt,"In electronics, a shunt is a device which allows electric current to pass around another point in the circuit."
Electrical,Electrical,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Electrical,Electromagnetic,Diode,"A device that allows an electric current to pass in one direction (called the forward biased condition) and blocks the current in the opposite direction (the reverse biased condition). Real diodes do not display such a perfect on-off directionality but have a more complex non-linear electrical characteristic, which depends on the particular type of diode technology. Diodes also have many other functions in which they are not designed to operate in this on-off manner."
Electrical,Electromagnetic,Gunn Effect,(also known as a transferred electron device or TED) A form of diode used in high-frequency electronics.
Electrical,Electromagnetic,Ion Beam,An ion beam is a type of particle beam consisting of ions. Ion beams have many uses in electronics manufacturing (principally ion implantation) and other industries.
Electrical,Electromagnetic,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Electrical,Electromagnetic,Light Emitting Diode,"A semiconductor diode that emits light when an electric current is applied in the forward direction of the device, as in the simple LED circuit. The effect is a form of electroluminescence where incoherent and narrow-spectrum light is emitted from the p-n junction in a solid state material."
Electrical,Electromagnetic,Maser,A device that produces coherent electromagnetic waves through amplification by stimulated emission. A laser is an optical maser.
Electrical,Electromagnetic,MOEMS,Micro-opto-electromechanical systems (MOEMS) are a special class of Micro-electro-mechanical systems (MEMS) which involves sensing or manipulating optical signals on a very small size scale using integrated mechanical and electrical systems.
