action,object,result,result_description
Absorb,Divided Solid,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Absorb,Divided Solid,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Absorb,Divided Solid,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Absorb,Divided Solid,Sponge,A tool or cleaning aid consisting of porous material.
Absorb,Divided Solid,Supercritical Fluid,"Any substance at a temperature and pressure above its critical point. It can diffuse through solids like a gas, and dissolve materials like a liquid. Additionally, close to the critical point, small changes in pressure or temperature result in large changes in density, allowing many properties to be 'tuned'."
Absorb,Divided Solid,Supercritical Fluid Extraction,"Process for separating one component (the extractant) from another (the matrix) using supercritical fluids as the extracting solvent. Extraction is usually from a solid matrix, but can be from liquids. Can be used for sample preparation for analytical purposes, or on a larger scale to strip unwanted material from a product (e.g. decaffeination) or collect a desired product (e.g. essential oils)."
Absorb,Divided Solid,Supersaturation,A solution that contains more of the dissolved material than could be dissolved by the solvent under normal circumstances. It can also refer to a vapour of a compound that has a higher (partial) pressure than the vapour pressure of that compound.
Absorb,Divided Solid,Suspension,"A heterogeneous fluid containing solid particles that are sufficiently large for sedimentation. Usually they must be larger than 1 micrometer. The internal phase (solid) is dispersed throughout the external phase (fluid - which may be liquid or gas) through mechanical agitation, with the use of certain excipients or suspending agents."
Absorb,Divided Solid,Vacuum,"A volume of space that is essentially empty of matter, such that its gaseous pressure is much less than atmospheric pressure. A perfect vacuum would be one with no particles in it at all, which is impossible to achieve in practice. Physicists often discuss ideal test results that would occur in a perfect vacuum, which they simply call 'vacuum' or 'free space', and use the term partial vacuum to refer to real vacuum."
Absorb,Divided Solid,Zeolite,"Microporous, aluminosilicate minerals commonly used as commercial adsorbents. Widely used in industry for water purification, as catalysts, for the preparation of advanced materials and in nuclear reprocessing."
Absorb,Field,Ablation,"The removal of material from the surface of an object by vaporisation, chipping, or other erosive processes. The term occurs in space physics associated with atmospheric reentry, in glaciology, medicine and passive fire protection. In space vehicle design, ablation is used to both cool and protect mechanical parts and/or payloads that would otherwise be adversely affected by extremely high temperatures."
Absorb,Field,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Absorb,Field,Absorptive Filter,A filter that absorbes some wavelengths of incident radiation whilst transmitting others.
Absorb,Field,Accumulator (energy),"An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
Absorb,Field,Acoustic Absorption,"The process by which a material, structure, or object takes in sound energy when sound waves are encountered, as opposed to reflecting the energy. Part of the absorbed energy is transformed into heat and part is transmitted through the absorbing body."
Absorb,Field,Acoustics,"The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
Absorb,Field,Acousto-optic Effect,"A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
Absorb,Field,Aerogels,"A manufactured material with the lowest bulk density of any known porous solid. It is derived from a gel in which the liquid component of the gel has been replaced with a gas. The result is an extremely low-density solid, with a notable effectiveness as a thermal insulator."
Absorb,Field,Aerosol,A suspension of fine solid particles or liquid droplets in a gas.
Absorb,Field,Anechoic Chamber,"A room designed to stop reflections of either sound or electromagnetic waves. They are also insulated from exterior sources of noise. Used to simulate a quiet open-space of infinite dimension. Originally used in the context of acoustics (sound waves), their radiofrequency counterpart is also used, for example to test antennas, radars, or electromagnetic interference."
Absorb,Field,Angular Momentum Conservation,In a closed system angular momentum is constant. The conservation of angular momentum explains the angular acceleration of an ice skater as she brings her arms and legs close to the vertical axis of rotation. By bringing part of mass of her body closer to the axis she decreases her body's moment of inertia. Because angular momentum is constant the angular velocity (rotational speed) of the skater has to increase.
Absorb,Field,Artificial Photosynthesis,"A chemical process that replicates the natural process of photosynthesis, a process that converts sunlight, water, and carbon dioxide into carbohydrates and oxygen. The term is commonly used to refer to any scheme for capturing and storing the energy from sunlight in the chemical bonds of a fuel"
Absorb,Field,Auxetic Materials,"Materials which, when stretched, become thicker perpendicularly to the applied force, i.e. they have a negative Poisson's ratio. Such materials have interesting mechanical properties such as high energy absorption and fracture resistance. This may be useful in applications such as body armor, packing material, knee and elbow pads, robust shock absorbing material and sponge mops."
Absorb,Field,Auxetic Structures,"Structures which, when stretched, become thicker perpendicularly to the applied force. That is, they have a negative Poisson's ratio. These can include composites, keyed-brick structures, microporous ploymers, auxetic foams or honeycombs."
Absorb,Field,Battery (electricity),A combination of two or more electrochemical cells which store chemical energy which can be converted into electrical energy.
Absorb,Field,Biot-Savart Effect,The generation of a magnetic field by a steady current i.e. an unchanging continual flow of charges (for example through a wire).
Absorb,Field,Boiling,"A type of phase transition. The rapid vaporisation of a liquid, which typically occurs when a liquid is heated to its boiling point, the temperature at which the vapour pressure of the liquid is equal to the pressure exerted on the liquid by the surrounding environmental pressure."
Absorb,Field,Bolometer,"A device for measuring the energy of incident electromagnetic radiation. It consists of an 'absorber' connected to a heat sink (area of constant temperature) through an insulating link. The result is that any radiation absorbed by the absorber raises its temperature above that of the heat sink - the higher the energy absorbed, the higher the temperature will be."
Absorb,Field,Bourdon Spring,"A coiled tube, which, as it expands or contracts due to pressure change, causes a rotation."
Absorb,Field,Brewster's Angle,"Brewster's angle (also known as the polarisation angle) is an angle of incidence at which light with a particular polarisation is perfectly transmitted through a transparent dielectric surface, with no reflection. When unpolarised light is incident at this angle, the light that is reflected from the surface is therefore perfectly polarised."
Absorb,Field,Bridgman Effect,(or internal Peltier effect) A phenomenon that occurs when an electric current passes through an anisotropic crystal - there is an absorption or liberation of heat because of the non-uniformity in current distribution
Absorb,Field,Buckypaper,"A thin sheet made from an aggregate of carbon nanotubes. The nanotubes are approximately 50,000 times thinner than a human hair. Originally, it was fabricated as a way to handle carbon nanotubes, but it is also being studied and developed into applications by several research groups, showing promise as an armor in vehicle armor and personal armor and next-generation electronics and displays."
Absorb,Field,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Absorb,Field,Centrifugal Govenor,"A specific type of governor that controls the speed of an engine by regulating the amount of fuel (or working fluid) admitted, so as to maintain a near constant speed whatever the load or fuel supply conditions. It uses the principle of proportional control."
Absorb,Field,Chemical Bonding,"The physical process responsible for the attractive interactions between atoms and molecules, and which confers stability to diatomic and polyatomic chemical compounds. In general, chemical bonding is associated with the sharing of electrons between the participating atoms. Molecules, crystals, and diatomic gases and most of the physical environment around us are held together by chemical bonds."
Absorb,Field,Christiansen Effect,A narrow bandpass or monochromatic optical filter which consists of an optical cell which is stuffed with a crushed substance (e.g. glass) and a (mostly organic) liquid.
Absorb,Field,Cold-forming,"A metalworking process in which metal is shaped at a temperature below its recrystallisation temperature, usually at the ambient temperature. Cold forming techniques are usually classified into four major groups: squeezing, bending, drawing, and shearing."
Absorb,Field,Compression,"The result of the subjection of a material to compressive stress, resulting in reduction of volume. The opposite of compression is tension. In simple terms, compression is a pushing force."
Absorb,Field,Concentrated Photovoltaics,"Concentrated photovoltaic systems focus a large amount of sunlight onto a small area of solar photovoltaic materials to generate electricity. Unlike traditional, more conventional flat panel systems, CPV systems are often much less expensive to produce, because the concentration allows for the production of a much smaller area of solar cells."
Absorb,Field,Converse Piezoelectric Effect,"Materials exhibiting the direct piezoelectric effect (the production of electricity when stress is applied) also exhibit the converse piezoelectric effect (the production of stress and/or strain when an electric field is applied). For example, lead zirconate titanate crystals will exhibit a maximum shape change of about 0.1% of the original dimension."
Absorb,Field,Corona Discharge,"An electrical discharge brought on by the ionization of a fluid surrounding a conductor, which occurs when the potential gradient (the strength of the electric field) exceeds a certain value, but conditions are insufficient to cause complete electrical breakdown or arcing."
Absorb,Field,Curie Point (ferromagnetic),The Curie point of a ferromagnetic material is the temperature above which it loses its characteristic ferromagnetic ability
Absorb,Field,Curie Point (piezoelectric),The Curie point of a piezoelectric material is the temperature above which the material loses its spontaneous polarisation and piezoelectric characteristics
Absorb,Field,Damping,"Damping is any effect, either deliberately engendered or inherent to a system, that tends to reduce the amplitude of oscillations of an oscillatory system."
Absorb,Field,Deformation,"A change in the shape or size of an object due to an applied force. This can be a result of tensile (pulling) forces, compressive (pushing) forces, shear, bending or torsion (twisting). Deformation is often described in terms of strain."
Absorb,Field,Dellinger Effect,"A fadeout of short-wave radios, caused by increased ionization of the D region of the ionosphere due to solar flares."
Absorb,Field,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Absorb,Field,Dilatant,"(also termed shear thickening) A material for which viscosity increases with the rate of shear. Such a shear thickening fluid, also known by the acronym STF, is an example of a non-Newtonian fluid."
Absorb,Field,Diode,"A device that allows an electric current to pass in one direction (called the forward biased condition) and blocks the current in the opposite direction (the reverse biased condition). Real diodes do not display such a perfect on-off directionality but have a more complex non-linear electrical characteristic, which depends on the particular type of diode technology. Diodes also have many other functions in which they are not designed to operate in this on-off manner."
Absorb,Field,Dispersion (of waves),"In optics, dispersion is the phenomenon in which the phase velocity of a wave depends on its frequency. Media having such a property are termed dispersive media. Dispersion is most often described for light waves, but it may occur for any kind of wave that interacts with a medium or passes through an inhomogeneous geometry (e.g. a waveguide), such as sound waves."
Absorb,Field,Drag,"A drag (sometimes called fluid resistance) is the force that resists the movement of a solid object through a fluid (a liquid or gas). The most familiar form of drag is made up of friction forces, which act parallel to the object's surface, plus pressure forces, which act in a direction perpendicular to the object's surface."
Absorb,Field,Earthing,"The connection of an electrical conductor to ground or earth. Used to provide a reference point in an electrical circuit from which other voltages are measured, or a common return path for electric current, or a direct physical connection to the Earth."
Absorb,Field,Echo,"A reflection of sound, arriving at the listener some time after the direct sound. Typical examples are the echo produced by the bottom of a well, by a building, or by the walls of an enclosed room. A true echo is a single reflection of the sound source. The time delay is the extra distance divided by the speed of sound."
Absorb,Field,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Absorb,Field,Elasticity,"The physical property of a material when it deforms under stress (e.g. external forces), but returns to its original shape when the stress is removed. The amount of deformation is called the strain. The elastic regime is characterized by a linear relationship between stress and strain, denoted linear elasticity."
Absorb,Field,Electrical Accumulator,An apparatus for stroring electrical energy.
Absorb,Field,Electrical Resistance,The degree to which an object opposes an electric current flowing through it (usually measured in Ohms). A function of both its physical geometry and the resistivity of the material the object is made from.
Absorb,Field,Electro-Optic Effects,"A change in the optical properties of a material in response to an electric field that varies slowly compared with the frequency of light. The term encompasses a number of distinct phenomena, which can be subdivided into a) change of the absorption (electroabsorption, Franz-Keldysh effect, Quantum-confined Stark effect, electro-chromatic effect) and b) change of the refractive index(Pockels effect, Kerr Effect, electro-gyration)"
Absorb,Field,Electrochromism,"A type of electro-optic effect. The creation of an absorption band at some wavelengths in a material in response to an electric field, which gives rise to a change in colour (i.e. the phenomenon displayed by some chemical species of reversibly changing color when a burst of charge is applied)."
Absorb,Field,Electrohydrodynamics,"Includes the following types of particle and fluid transport mechanisms:Electrophoresis, electrokinesis, dielectrophoresis, electro-osmosis, and electrorotation. In general, the phenomena relate to the direct conversion of electrical energy into kinetic energy, and vice versa."
Absorb,Field,Electrolysis,"A method of separating chemically bonded elements and compounds by passing an electric current through them. Electrolysis involves the passage of an electric current through an ionic substance that is either molten or dissolved in a suitable solvent, resulting in chemical reactions at the electrodes."
Absorb,Field,Electromagnetic Induction,The generation of electromotive force (EMF) in a current-carrying conductor exposed to a changing magnetic field
Absorb,Field,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Absorb,Field,Electrorheological Effect,"Electrorheological (ER) fluids are suspensions of extremely fine non-conducting particles (up to 50 micrometres diameter) in an electrically insulating fluid. The apparent viscosity of ER fluids changes reversibly by an order of up to 100,000 in response to an electric field. A typical ER fluid can go from the consistency of a liquid to that of a gel, and back, with response times of the order of ms. Sometimes called the Winslow Effect."
Absorb,Field,Electrostriction,"A property of all electrical non-conductors, or dielectrics, that causes them to change their shape under the application of an electric field. All dielectrics exhibit some electrostriction, but certain engineered ceramics, known as relaxor ferroelectrics, have extraordinarily high electrostrictive constants,e.g. Lead magnesium niobate (PMN), Lead magnesium niobate-lead titanate (PMN-PT), Lead lanthanum zirconate titanate (PLZT)."
Absorb,Field,Electroviscous Effect,Change in a liquid's viscosity induced by a strong electrostatic field.
Absorb,Field,Endothermic Reaction,"A process or reaction that absorbs energy typically (but not always) in the form of heat. The concept is frequently applied in physical sciences to e.g. chemical reactions, where thermal energy (heat) is converted to chemical bond energy."
Absorb,Field,Evaporative Cooler,A device that cools air through the evaporation of water. Evaporative cooling works by employing water's large enthalpy of vaporisation.
Absorb,Field,Extrusion,"A process used to create objects of a fixed cross-sectional profile. A material is pushed or drawn through a die of the desired cross-section. Can be used to create very complex cross-sections and work materials that are brittle, because the material only encounters compressive and shear stresses."
Absorb,Field,Faraday Cage,An enclosure formed by conducting material or by a mesh of such material. Such an enclosure blocks out external static electric fields. To a large degree they also shield the interior from external electromagnetic radiation if the conductor is thick enough and any holes are significantly smaller than the radiation's wavelength.
Absorb,Field,Faraday Wave,"(or Faraday Ripples) Nonlinear standing waves that appear on liquids enclosed by a vibrating receptacle. When the vibration frequency exceeds a critical value, the flat hydrostatic surface becomes unstable. The waves can take the form of stripes, close-packed hexagons, or even squares or quasiperiodic patterns."
Absorb,Field,Fatigue,"The progressive and localised structural damage that occurs when a material is subjected to cyclic loading. The maximum stress values are less than the ultimate tensile stress limit, and may be below the yield stress limit of the material."
Absorb,Field,Filter (electronic),"Electronic circuits which perform signal processing functions, specifically intended to remove unwanted signal components and/or enhance wanted ones."
Absorb,Field,Filter (optical),"Optical filters selectively transmits light having certain properties (often, a particular range of wavelengths, that is, range of colours of light), while blocking the remainder. Optical filters, generally, belong to one of two categories. The simplest, physically, is the absorptive filter, while the latter category, that of interference or dichroic filters, can be quite complex."
Absorb,Field,Flow Battery,A form of rechargeable battery in which electrolyte containing one or more dissolved electroactive species flows through a power cell / reactor that converts chemical energy to electricity. Additional electrolyte is stored externally and typically pumped through the cell(s) of the reactor. Can be rapidly 'recharged' by replacing the electrolyte (analogous to refilling a fuel tank) while recovering the spent material for re-energisation.
Absorb,Field,Fluorescence,"Fluorescence is a luminescence that is mostly found as an optical phenomenon in cold bodies, in which the molecular absorption of a photon triggers the emission of a photon with a longer (less energetic) wavelength. The energy difference between the absorbed and emitted photons ends up as molecular rotations, vibrations or heat. Sometimes the absorbed photon is in the ultraviolet range, and the emitted light is in the visible range."
Absorb,Field,Flywheel,"A mechanical device with significant moment of inertia used as a storage device for rotational energy. Flywheels resist changes in their rotational speed, which helps steady the rotation of the shaft when a fluctuating torque is exerted on it by its power source such as a piston-based (reciprocating) engine, or when the load placed on it is intermittent (such as a piston pump)."
Absorb,Field,Franz-Keldysh Effect,A change in optical absorption by a semiconductor when an electric field is applied. Used to create electroabsorption modulators.
Absorb,Field,Friction,The force resisting the relative motion of two surfaces in contact or a surface in contact with a fluid (e.g. air on an aircraft or water in a pipe).
Absorb,Field,Fullerenes,"A family of carbon allotropes, molecules composed entirely of carbon, in the form of a hollow sphere, ellipsoid, tube, or plane."
Absorb,Field,Gear,"A gear (or more correctly a gear wheel) is a rotating machine part having cut teeth, or cogs, which mesh with another toothed part in order to transmit torque. Two or more gears working in tandem are called a transmission and can produce a mechanical advantage through a gear ratio and thus may be considered a simple machine. Geared devices can change the speed, magnitude, and direction of a power source."
Absorb,Field,Gimbal,"A pivoted support that allows the rotation of an object about a single axis. A set of two gimbals, one mounted on the other with pivot axes orthogonal, may be used to allow an object mounted on the innermost gimbal to remain immobile regardless of the motion of its support."
Absorb,Field,Harmonic Oscillator,"A system which, when displaced from its equilibrium position, experiences a restoring force proportional to the displacement. Mechanical examples include pendula (with small angles of displacement) and masses connected to springs."
Absorb,Field,Heat Engine,"A system that performs the conversion of heat energy to mechanical work by exploiting the temperature gradient between a hot 'source' and a cold 'sink'. Heat is transferred from the source, through the 'working body' of the engine, to the sink, and in this process some of the heat is converted into work by exploiting the properties of a working substance (usually a gas or liquid)."
Absorb,Field,Heat Exchanger,"A device built for efficient heat transfer from one medium to another, whether the media are separated by a solid wall so that they never mix, or the media are in direct contact"
Absorb,Field,Heat Sink,"A component or assembly that transfers heat generated within a solid material to a fluid medium, such as air or a liquid."
Absorb,Field,Hooke's Law,Hooke's law of elasticity is an approximation that states that the extension of a spring is in direct proportion with the load added to it as long as this load does not exceed the elastic limit. Materials for which Hooke's law is a useful approximation are known as linear-elastic or 'Hookean' materials.
Absorb,Field,Hydraulic Accumulator,"An energy storage device. A pressure storage reservoir in which a non-compressible hydraulic fluid is held under pressure by an external source. That external source can be, for example, a spring, a raised weight, or a compressed gas."
Absorb,Field,Inclined Plane,"A flat surface whose endpoints are at different heights. By moving an object up an inclined plane rather than completely vertically, the amount of force required is reduced, at the expense of increasing the distance the object must travel."
Absorb,Field,Inductor,"A passive electrical component that can store energy in a magnetic field created by the electric current passing through it. Typically an inductor is a conducting wire shaped as a coil, the loops helping to create a strong magnetic field inside the coil due to Ampere's Law. Due to the time-varying magnetic field inside the coil, a voltage is induced, according to Faraday's law of electromagnetic induction, which by Lenz's Law opposes the change in current that created it."
Absorb,Field,Intumescent Materials,"An intumescent is a substance which swells as a result of heat exposure, thus increasing in volume, and decreasing in density. Intumescents are typically used in passive fire protection."
Absorb,Field,Joule Heating,"The process by which the passage of an electric current through a conductor releases heat. Heat generated is a function of current, resistance and time. Also known as the Joule-Lenz effect, Ohmic heating or resitive heating."
Absorb,Field,Laser Ablation,"The process of removing material from a solid (or occasionally liquid) surface by irradiating it with a laser beam. At low laser flux, the material is heated by the absorbed laser energy and evaporates or sublimates. At high laser flux, the material is typically converted to a plasma. Usually, laser ablation refers to removing material with a pulsed laser, but it is possible to ablate material with a continuous wave laser beam if the laser intensity is high enough."
Absorb,Field,Latent Heat,"Energy released or absorbed, by a body or a thermodynamic system, during a constant-temperature process. An example is a state of matter change, meaning a phase transition, such as ice melting or water boiling."
Absorb,Field,Lever,A rigid object that is used with an appropriate fulcrum or pivot point to multiply the mechanical force that can be applied to another object.
Absorb,Field,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Absorb,Field,Lorentz Force,"The force on a point charge due to electromagnetic fields. When a wire carrying an electrical current is placed in a magnetic field, each of the moving charges, which comprise the current, experiences the Lorentz force, and together they can create a macroscopic force on the wire (sometimes called the Laplace force)."
Absorb,Field,Magnetic Reluctance,"Analogous to the way an electric field causes an electric current to follow the path of least resistance, a magnetic field causes magnetic flux to follow the path of least magnetic reluctance."
Absorb,Field,Magnetic Saturation,"Seen in some magnetic materials, saturation is the state reached when an increase in applied external magnetising field cannot increase the magnetisation of the material further, so the total magnetic field levels off. It is a characteristic particularly of ferromagnetic materials, such as iron, nickel, cobalt and their alloys."
Absorb,Field,Magnetocaloric Effect,"(or Magnetothermal Effect) A magneto-thermodynamic phenomenon in which a reversible change in temperature of a suitable material is caused by exposing the material to a changing magnetic field. Also known as adiabatic demagnetisation. Can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators."
Absorb,Field,Magnetorheological Elastomer,"(or magnetosensitive elastomers) A class of solids that consist of polymeric matrix with embedded micro- or nano-sized ferromagnetic particles such as carbonyl iron. As a result of this composite microstructure, the mechanical properties of these materials can be controlled by the application of magnetic field."
Absorb,Field,Magnetorheological Fluid,"A suspension of micrometer-sized magnetic particles in a carrier fluid, usually a type of oil. When subjected to a magnetic field, the fluid greatly increases its apparent viscosity, to the point of becoming a viscoelastic solid. The yield stress of the fluid when in its active ('on') state can be controlled very accurately by varying the magnetic field intensity, hence the fluid's ability to transmit force can be controlled with an electromagnet, which gives rise to its many possible control-based applications."
Absorb,Field,Mechanical Advantage,"Force amplification achieved by using a tool, mechanical device or machine system. Ideally, the device preserves the input power and simply trades off forces against movement to obtain a desired amplification in the output force."
Absorb,Field,Mechanical Force,A mechanical influence that causes a free body to undergo an acceleration.
Absorb,Field,Melting,A process that results in the phase change of a substance from a solid to a liquid. The internal energy of a solid substance is increased (typically by the absorbtion of heat) to a specific temperature (called the melting point) at which it changes to the liquid phase.
Absorb,Field,Metastability,A general scientific concept which describes states of delicate equilibrium. A system is in a metastable state when it is in equilibrium (not changing with time) but is susceptible to fall into lower-energy states with only slight interaction. It is analogous to being at the bottom of a small valley when there is a deeper valley close by
Absorb,Field,Mirage (photothermal deflection),A naturally occurring optical phenomenon in which light rays are bent to produce a displaced image of distant objects or the sky.
Absorb,Field,Möbius Resistor,"An electrical component made up of two conductive surfaces separated by a dielectric material, twisted 180° and connected to form a Möbius strip. It provides a resistor that has no residual self-inductance, meaning that it can resist the flow of electricity without causing magnetic interference at the same time."
Absorb,Field,Moment of Inertia,"(or mass moment of inertia, rotational inertia, polar moment of inertia of mass, or the angular mass). The inertia of a rotating body with respect to its rotation. The moment of inertia plays much the same role in rotational dynamics as mass does in linear dynamics,"
Absorb,Field,Nanofoam,"A class of nanostructured, porous materials containing a significant population of pores with diameters less than 100 nm. Aerogels are one example of nanofoam."
Absorb,Field,Non-Newtonian Fluids,"Fluids whose flow properties are not described by a single constant value of viscosity. In a non-Newtonian fluid, the relation between the shear stress and the strain rate is nonlinear, and can even be time-dependent. Therefore a constant coefficient of viscosity can not be defined. A ratio between shear stress and rate of strain (or shear-dependent viscosity) can be defined, this being more useful for fluids without time-dependent behavior."
Absorb,Field,Peltier Effect,"Heat is evolved or absorbed at the junction of two dissimilar metals carrying a small current, depending upon the direction of the current. One of a number of thermoelectric effects (See Seebeck Effect and Thompson Effect)."
Absorb,Field,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Absorb,Field,Phononic Crystal,"A phononic crystal is a material which exhibits stop bands for phonons, preventing phonons of selected ranges of frequencies from being transmitted through the material."
