query,source,expanded_query,patent_id,patent_abstract
ink cartridge for writing instrument,LLM,ink cartridge for writing instrument,10000067,"Ink includes water, an organic solvent, a surfactant including a silicon-based surfactant, and a resin including a polyester-based urethane resin having a polyolefin portion."
ink cartridge for writing instrument,LLM,ink cartridge for writing instrument,10000088,"A writing instrument includes: a replacement ink cartridge including a bottomed cylindrical container that has an opened front end and a closed rear end and a plug fitted into an inner circumferential surface of an opening of the container; and a projection inserted into the opening of the container to press the plug rearward, thereby opening the plug of the ink cartridge, wherein the projection and the plug are fitted when the plug is press opened, and when the cartridge is replaced, the fitting between the projection and the plug is released and the plug is locked again in the opening of the container."
ink cartridge for writing instrument,LLM,ink cartridge for writing instrument,10000467,"Compounds used as labels with properties comparable to known fluorescent compounds. The compounds can be conjugated to proteins and nucleic acids for biological imaging and analysis. Synthesis of the compounds, formation and use of the conjugated compounds, and specific non-limiting examples of each are provided."
ink cartridge for writing instrument,LLM,ink cartridge for writing instrument,10000056,"A screen printing apparatus includes a pair of clampers that clamp a substrate, a mask plate contacted to the substrate, a pair of squeegees provided above the mask plate vertically, and a squeegee controller that selectively controls one of the pair of squeegees to move in the horizontal direction in abutment against the mask plate so that the selected one of the pair of squeegees slides on the mask plate."
ink cartridge for writing instrument,LLM,ink cartridge for writing instrument,10000089,A multi-color writing marker may comprise a tubular marker barrel connected to a motor housing. The marker barrel may house a cartridge removably coupled to a drive shaft connected to a motor. The cartridge may include a plurality of reservoirs containing writing liquids of different colors. A marker tip may be mounted on a distal end of the cartridge. The marker tip supports a plurality of marker nibs corresponding to the number of cartridge reservoirs. Each marker nib may be in fluid communication with a corresponding reservoir. Actuation of the motor spins the cartridge and marker nibs while a user is simultaneous creating a design on the writing surface.
ink cartridge for writing instrument,TRIZ,"ink cartridge for writing instrument operation Decrease parameter Porosity Sol A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint. Parameter",10000419,"Compositions and methods associated with intercalating and exfoliating a sample are described herein. For example, of a method may include mixing the sample with intercalation materials. The intercalation materials are then intercalated into the sample to obtain a sample intercalated with the intercalation materials. The intercalated sample can then be exfoliated to produce an exfoliated sample."
ink cartridge for writing instrument,TRIZ,"ink cartridge for writing instrument operation Decrease parameter Porosity Sol A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint. Parameter",10000306,"Disclosed are container apparatuses that have variable volume capacity, which are useful, for example, as pack-off containers in operations involving manufactured articles. The container apparatuses can have vertically translatable bottom members to adjust volume capacity, and the bottom members can also be rotatable to facilitate the presentation of manufactured articles for removal. The vertically translatable bottom members can be suspended flexible sheet materials, portions of which can be raised or lowered to re-contour the shape of and adjust the volume capacity of the container apparatuses."
ink cartridge for writing instrument,TRIZ,"ink cartridge for writing instrument operation Decrease parameter Porosity Sol A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint. Parameter",10000426,"A composition for allowing marking of a product, the composition comprising: (a) a volatile solvent; (b) a silicone resin comprising a trifunctional unit of formula (R)SiO3/2, wherein R is chosen, independently by trifunctional unit, from hydrocarbyl groups and hydroxyl groups, on the condition that at least one R is a hydrocarbyl group; and, (c) titanium dioxide particles having an average size of between approximately 100 nanometers and 1000 nanometers."
ink cartridge for writing instrument,TRIZ,"ink cartridge for writing instrument operation Decrease parameter Porosity Sol A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint. Parameter",10000081,"There is provided a transfer sheet with improvement in smudges and blurs of a transfer layer when printed matters are produced even after storing the transfer sheet under high temperatures. The transfer sheet according to the present invention comprises a substrate, and in the order a peel layer and a transfer layer on the substrate, wherein the peel layer contains a binder resin, a silicone oil and/or a wax component and the total contents of the silicone oil and the wax component in the peel layer is 0.1 mass % or more and 15 mass % or less, based on the solid content of mass of the binder resin."
ink cartridge for writing instrument,TRIZ,"ink cartridge for writing instrument operation Decrease parameter Porosity Sol A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint. Parameter",10000068,"A controller changes a droplet number larger than a second maximum droplet number among droplet numbers in first droplet data for each ink color to the second maximum droplet number. The controller, for each of certain pixels with a droplet number of black decreased to the second maximum droplet number, performs at least one of a first processing or a second processing. The first processing includes distributing a droplet number subtracted to decrease the droplet number of black to pixels surrounding the certain pixel in the first droplet data for black. The second processing includes adding the subtracted droplet number to a droplet number for the certain pixel in the first droplet data for a color other than black."
device to measure tire pressure,LLM,device to measure tire pressure,10000100,"Systems and methods of determining tire load from measured tire parameters include using a piezoelectric based sensor to obtain one or more contact patch parameters (e.g., contact patch entry time, contact patch exit time total contact patch time and contact patch angle) and one or more additional sensors to obtain tire pressure. Selected contact patch parameter measurements and pressure values are then compared with known combinations of contact patch parameter values and pressure values stored in a look-up table. A corresponding determined tire load value is then provided as electronic output."
device to measure tire pressure,LLM,device to measure tire pressure,10000090,"The present invention provides a pneumatic radial tire for a passenger vehicle, having: a cross sectional width SW and an outer diameter OD controlled under an appropriate SW-OD relationship; and an optimized configuration of a crown portion thereof."
device to measure tire pressure,LLM,device to measure tire pressure,10000213,A pressure of a spare tire of a vehicle is determined. Whether the spare tire is installed is determined based at least in part on the pressure. A vehicle subsystem is actuated based at least in part on whether the spare tire is installed.
device to measure tire pressure,LLM,device to measure tire pressure,10000098,"Embodiments provide a tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program to receive data. The tire pressure measurement device includes a first receiver configured to receive a low frequency signal using a first low frequency input of the first receiver, and a second input configured to receive a receive signal associated with a second receiver that is different from the first receiver. The tire pressure measurement device further includes a controller configured to control the first low frequency input of the first receiver and to couple the second input to the first low frequency input of the first receiver in order for the first receiver to receive the receive signal at the first low frequency input."
device to measure tire pressure,LLM,device to measure tire pressure,10000099,"The invention relates to a tire pressure monitoring unit for arranging within a motor vehicle tire for sensing the tire filling pressure, wherein the tire pressure monitoring unit has a housing, in which electronic parts and at least one pressure sensor are arranged, wherein the housing has an air inlet, by means of which the tire filling pressure is applied to the pressure sensor, wherein the housing is designed as a multi-component plastic injection-molded part, in particular a two-component plastic injection-molded part, wherein a first component forms a lower housing shell and an upper housing shell and wherein a second component forms a seal between the air inlet and the pressure sensor. The invention further relates to a method for producing a tire pressure monitoring unit."
device to measure tire pressure,TRIZ,"device to measure tire pressure operation Measure parameter Pressure Electromechanical Film A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator. Parameter",10000100,"Systems and methods of determining tire load from measured tire parameters include using a piezoelectric based sensor to obtain one or more contact patch parameters (e.g., contact patch entry time, contact patch exit time total contact patch time and contact patch angle) and one or more additional sensors to obtain tire pressure. Selected contact patch parameter measurements and pressure values are then compared with known combinations of contact patch parameter values and pressure values stored in a look-up table. A corresponding determined tire load value is then provided as electronic output."
device to measure tire pressure,TRIZ,"device to measure tire pressure operation Measure parameter Pressure Electromechanical Film A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator. Parameter",10000090,"The present invention provides a pneumatic radial tire for a passenger vehicle, having: a cross sectional width SW and an outer diameter OD controlled under an appropriate SW-OD relationship; and an optimized configuration of a crown portion thereof."
device to measure tire pressure,TRIZ,"device to measure tire pressure operation Measure parameter Pressure Electromechanical Film A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator. Parameter",10000231,An apparatus for applying an auxiliary force in a motor vehicle steering unit may include a driving worm that is connectable to an electric motor and applies an auxiliary force on the motor vehicle steering unit through a worm wheel. The driving worm may be housed in a roller bearing. The roller bearing can be pivoted about a pivoting axis defined by a pivot element outside the roller bearing.
device to measure tire pressure,TRIZ,"device to measure tire pressure operation Measure parameter Pressure Electromechanical Film A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator. Parameter",10000137,"A sub DC/DC converter converts an output voltage of a charger into a level of an output of an auxiliary battery, and outputs the output voltage to a power supply line connected to a PLG-ECU and the auxiliary battery. A control unit interrupts a current path from the power supply line to the auxiliary battery when a voltage of the sub auxiliary battery is equal to or lower than a prescribed value."
device to measure tire pressure,TRIZ,"device to measure tire pressure operation Measure parameter Pressure Electromechanical Film A thin membrane whose thickness is related to an electric voltage. It can be used as a pressure sensor, microphone, or a speaker. It can also convert electrical energy to vibration, functioning as an actuator. Parameter",10000098,"Embodiments provide a tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program to receive data. The tire pressure measurement device includes a first receiver configured to receive a low frequency signal using a first low frequency input of the first receiver, and a second input configured to receive a receive signal associated with a second receiver that is different from the first receiver. The tire pressure measurement device further includes a controller configured to control the first low frequency input of the first receiver and to couple the second input to the first low frequency input of the first receiver in order for the first receiver to receive the receive signal at the first low frequency input."
underwater vehicle,LLM,underwater vehicle,10000266,"An aquatic jet propulsion device basically includes a portable main control module, a plurality of submersible propulsion units and a sub-two-way communication device. The portable main control module includes a main controller and a main two-way communication device. Each of the submersible propulsion units includes a motor, a battery electrically connected to the motor and a motor controller operatively connected to the motor to control a speed of the motor. The sub-two-way communication device is configured to communicate with the main two-way communication device. The main controller is programmed to individually control the speed of the motors of the submersible propulsion units via the motor controllers."
underwater vehicle,LLM,underwater vehicle,10000265,"An underwater vehicle may include a buoyancy control system configured to use a dual-internal-reservoir configuration to enhance efficiency of changing buoyancy of the underwater vehicle. The buoyancy control system may utilize an incompressible fluid (e.g., oil or water) that is transferred between a first internal reservoir and an external chamber to affect buoyancy of the underwater vehicle. In exemplary implementations, a compressible fluid (e.g., air) may be used to inflate or deflate a second internal reservoir. The second internal reservoir may be disposed within the buoyancy control system so that it can act on the first internal reservoir by applying a compressive force or a tensive force on the first internal reservoir, depending on the pressure differences between the two reservoirs."
underwater vehicle,LLM,underwater vehicle,10000244,A vehicle with a manual controlled hydrostatic pump and a pod that can be rotated between an open position and closed position without disconnecting operator controls in the pod from the manual controlled hydrostatic pump. The pod may also be physically isolated form the vehicle frame.
underwater vehicle,LLM,underwater vehicle,10000284,"The disclosed unmanned aerial vehicle (UAV) includes a buoyant airbag, a drive unit, a retention feature, and an onboard control module that can be configured to cause the drive unit to displace the UAV, cause the retention feature to retain one or more items for transport, and receive instructions to transfer items from one location to another. For example, a UAV can be controlled to obtain an item at one location in a warehouse such as a first floor, lift said item to a second location in the warehouse such as a second floor, and deposit the item at the second location."
underwater vehicle,LLM,underwater vehicle,10000090,"The present invention provides a pneumatic radial tire for a passenger vehicle, having: a cross sectional width SW and an outer diameter OD controlled under an appropriate SW-OD relationship; and an optimized configuration of a crown portion thereof."
underwater vehicle,TRIZ,"underwater vehicle action Separate object Solid Aquaplaning A phenonomen that occurs when a layer of water builds between the wheels of the vehicle and the road surface, leading to a loss of traction that prevents the vehicle from responding to control inputs. Function",10000265,"An underwater vehicle may include a buoyancy control system configured to use a dual-internal-reservoir configuration to enhance efficiency of changing buoyancy of the underwater vehicle. The buoyancy control system may utilize an incompressible fluid (e.g., oil or water) that is transferred between a first internal reservoir and an external chamber to affect buoyancy of the underwater vehicle. In exemplary implementations, a compressible fluid (e.g., air) may be used to inflate or deflate a second internal reservoir. The second internal reservoir may be disposed within the buoyancy control system so that it can act on the first internal reservoir by applying a compressive force or a tensive force on the first internal reservoir, depending on the pressure differences between the two reservoirs."
underwater vehicle,TRIZ,"underwater vehicle action Separate object Solid Aquaplaning A phenonomen that occurs when a layer of water builds between the wheels of the vehicle and the road surface, leading to a loss of traction that prevents the vehicle from responding to control inputs. Function",10000166,"An arrangement for a motor vehicle including a dividing wall disposed between an engine compartment and a passenger compartment of the vehicle, a water container to collect the water running over the windscreen of the vehicle, and at least one collector to collect an overflow of water contained in the water container. The at least one collector is made up of a component forming an integral part of the dividing wall."
underwater vehicle,TRIZ,"underwater vehicle action Separate object Solid Aquaplaning A phenonomen that occurs when a layer of water builds between the wheels of the vehicle and the road surface, leading to a loss of traction that prevents the vehicle from responding to control inputs. Function",10000288,"A laterally and recline adjustable aircraft passenger seat assembly including a seat, spaced forward and rear rails, a seat recline motion assembly attached to the seat and slidable along the length of the spaced forward and rear rails and including a first actuator dedicated for seat recline motion, and a lateral seat motion assembly disposed between the spaced forward and rear rails and including a second linear actuator dedicated for driving lateral motion of the seat recline motion assembly."
underwater vehicle,TRIZ,"underwater vehicle action Separate object Solid Aquaplaning A phenonomen that occurs when a layer of water builds between the wheels of the vehicle and the road surface, leading to a loss of traction that prevents the vehicle from responding to control inputs. Function",10000259,"A suction anchor for a remotely operated vehicle comprising a frame attachable to a remotely operated vehicle, anchor cans beneath the frame beneath and connectable to a pump. In particular the anchor can be deployed as part of a method for sampling or measuring the seabed comprising the steps of attaching a frame to the remotely operated vehicle, the frame having one or more downwardly mounted anchor cans and a mast to which sampling and/or measuring equipment is attached, placing the anchor cans on an underwater floor, and, at least in partially, evacuating the cans of water embedding them in part into the underwater floor, sampling and/or measuring the underwater floor using the sampling and/or measuring equipment. It can be used to mount other sensor equipment requiring a stable platform."
underwater vehicle,TRIZ,"underwater vehicle action Separate object Solid Aquaplaning A phenonomen that occurs when a layer of water builds between the wheels of the vehicle and the road surface, leading to a loss of traction that prevents the vehicle from responding to control inputs. Function",10000244,A vehicle with a manual controlled hydrostatic pump and a pod that can be rotated between an open position and closed position without disconnecting operator controls in the pod from the manual controlled hydrostatic pump. The pod may also be physically isolated form the vehicle frame.
thermally insulated container,LLM,thermally insulated container,10000409,"Alkali-doped boroaluminosilicate glasses are provided. The glasses include the network formers SiO2, B2O3, and Al2O3. The glass may, in some embodiments, have a Young's modulus of less than about 65 GPa and/or a coefficient of thermal expansion of less than about 40Ã—10âˆ’7/Â° C. The glass may be used as a cover glass for electronic devices, a color filter substrate, a thin film transistor substrate, or an outer clad layer for a glass laminate."
thermally insulated container,LLM,thermally insulated container,10000004,"The present invention relates to provides a double-oriented film, co-extrude, and of low thickness, with a layered composition that gives the property of being of high barrier to gases and manufactured by the process of co-extrusion of 3 bubbles, which gives the property of when being thermoformed, ensure the distribution of uniform thickness in the walls, base, folds, and corners of the formed tray saving a minimum of 50% of plastic without diminishing its gas barrier and its resistance to puncture."
thermally insulated container,LLM,thermally insulated container,10000433,"The invention describes a high yield process that utilizes selective catalysts for the conversion of abundant, naturally occurring terpenes into bisphenols, and their derivative bis(cyanate)esters, resins, and polymers. High performance, low-cost composite materials with low moisture uptake and high glass transition temperatures suitable for aerospace applications can be prepared from these renewable starting materials."
thermally insulated container,LLM,thermally insulated container,10000046,"Methods of creating thick composite structures are provided. The methods may be applied to two or more prepreg structures of composite materials to form laminate structures that are thicker than approximately five (5) inches without excessive exothermic events resulting in inconsistent cure and high residual stresses. The method may include heating a first sheet to achieve a specified increase in resin viscosity. In response to achieving the specified resin viscosity, a second portion of composite material may be applied to the first portion. The assembly may be heated to create a laminate structure which is chemically bonded with no interface."
thermally insulated container,LLM,thermally insulated container,10000370,"Methods and apparatus describing a convenience beverage vending machine and its operation are described. An embedded computer interface allows consumers to create their own drinks or choose from a menu of drinks. Drinks are dispensed in a container. The beverages may be made from hot water, cold water or carbonated water that is mixed with various flavors of syrup, sweeteners and nutritional supplements. Identification may be presented and the computer recognizes the consumer and pulls up that consumer's account to determine funds available and previous drink selections and mixtures. The machine may incorporate an automatic cleaning cycle for both the valves and the dispense area."
thermally insulated container,TRIZ,thermally insulated container action Cool object Gas Rayleigh-Bénard Convection Convection cells that appear spontaneously in a liquid layer when heat is applied from below. Function,10000004,"The present invention relates to provides a double-oriented film, co-extrude, and of low thickness, with a layered composition that gives the property of being of high barrier to gases and manufactured by the process of co-extrusion of 3 bubbles, which gives the property of when being thermoformed, ensure the distribution of uniform thickness in the walls, base, folds, and corners of the formed tray saving a minimum of 50% of plastic without diminishing its gas barrier and its resistance to puncture."
thermally insulated container,TRIZ,thermally insulated container action Cool object Gas Rayleigh-Bénard Convection Convection cells that appear spontaneously in a liquid layer when heat is applied from below. Function,10000011,"To reduce distortion in an additively manufactured part, a shrinking platform is formed from a metal particulate filler in a debindable matrix. Shrinking supports of the same material are formed above the shrinking platform, and a desired part of the same material is formed upon them. A sliding release layer is provided below the shrinking platform of equal or larger surface area than a bottom of the shrinking platform to lateral resistance between the shrinking platform and an underlying surface. The matrix is debound sufficient to form a shape-retaining brown part assembly including the shrinking platform, shrinking supports, and the desired part. The shape-retaining brown part assembly is heated to shrink all of the components together at a same rate via atomic diffusion."
thermally insulated container,TRIZ,thermally insulated container action Cool object Gas Rayleigh-Bénard Convection Convection cells that appear spontaneously in a liquid layer when heat is applied from below. Function,10000411,The invention provides flash-treated transparent conductive coatings based on indium tin oxide. Some embodiments provide a multiple-pane insulating glazing unit that includes two glass panes and a between-pane space. The two glass panes respectively define two opposed external pane surfaces. At least one of the two external pane surfaces has a flash-treated transparent conductive oxide coating.
thermally insulated container,TRIZ,thermally insulated container action Cool object Gas Rayleigh-Bénard Convection Convection cells that appear spontaneously in a liquid layer when heat is applied from below. Function,10000042,"The current disclosure relates to a polymeric laminate structure having an outer polystyrene film, either blown or cast, comprised of crystal polystyrene homopolymer, optionally blended with up to about 45 wt-% of high impact polystyrene and/or inorganic fillers."
thermally insulated container,TRIZ,thermally insulated container action Cool object Gas Rayleigh-Bénard Convection Convection cells that appear spontaneously in a liquid layer when heat is applied from below. Function,10000081,"There is provided a transfer sheet with improvement in smudges and blurs of a transfer layer when printed matters are produced even after storing the transfer sheet under high temperatures. The transfer sheet according to the present invention comprises a substrate, and in the order a peel layer and a transfer layer on the substrate, wherein the peel layer contains a binder resin, a silicone oil and/or a wax component and the total contents of the silicone oil and the wax component in the peel layer is 0.1 mass % or more and 15 mass % or less, based on the solid content of mass of the binder resin."
automated warehouse storage system,LLM,automated warehouse storage system,10000159,"A storage bin system is provided for a motor vehicle. That storage bin system includes a first cargo compartment sidewall having a first storage cavity with a first rearwardly oriented access opening. Further, the storage bin system includes a first removable storage bin received and held in the first storage cavity."
automated warehouse storage system,LLM,automated warehouse storage system,10000284,"The disclosed unmanned aerial vehicle (UAV) includes a buoyant airbag, a drive unit, a retention feature, and an onboard control module that can be configured to cause the drive unit to displace the UAV, cause the retention feature to retain one or more items for transport, and receive instructions to transfer items from one location to another. For example, a UAV can be controlled to obtain an item at one location in a warehouse such as a first floor, lift said item to a second location in the warehouse such as a second floor, and deposit the item at the second location."
automated warehouse storage system,LLM,automated warehouse storage system,10000158,"A bag for storing and holding electronic and non-electronic items upon the passenger seat of a vehicle is a fabric accessory holder that opens to resemble an open rectangular tray having short sidewalls with multiple interior accessory pockets each having closures, and a coffee cup holder mounted on the inside bottom. A stiffener is used to provide some rigidity to the base and the sidewalls. The sides pull together with closures such as zippers into a domed top with handles for carrying."
automated warehouse storage system,LLM,automated warehouse storage system,10000224,"The invention relates to a method and handling device for the maintenance of agitator ball mills with a horizontally disposed grinding container. The handling device comprises a transport means and at least one holding unit for machine parts of an agitator ball mill, wherein the transport means is connected to the holding unit in a detachable manner."
automated warehouse storage system,LLM,automated warehouse storage system,10000340,"A vented bucket for use in an endless conveyor system, such as the conveyor belt of a grain elevator or feed elevator, includes two oppositely disposed side panels joined by a rear panel, a bottom panel, and a front panel. At least one vent tube extends along or within one of the rear panel, side panels or front panel in a substantially vertical orientation."
automated warehouse storage system,TRIZ,"automated warehouse storage system operation Stabilise parameter Position Close Packing A dense arrangement of equal spheres in an infinite, regular arrangement (or lattice). There are two simple regular lattices that achieve highest average density: face-centered cubic (also called cubic close packed) and hexagonal close-packed. Both are based upon sheets of spheres arranged at the vertices of a triangular tiling; they differ in how the sheets are stacked upon one another. Parameter",10000346,"A transport element for a distributing conveyor of a sorter of a sorting installation of a sorting system for sorting articles includes at least one first transport surface, which can be pivoted on both sides about an axis (â€œtilting axisâ€) in a transport direction of the transport element and is intended for accommodating at least one article which is to be sorted, and at least one second transport surface, which is inclined about an axis (â€œaxis of inclinationâ€) in the transport direction of the transport element and is intended for accommodating at least one article which is to be sorted. The at least one first transport surface, which can be pivoted on either side, is disposed above the at least one second, inclined transport surface. A distributing conveyor having a plurality of transport elements is also provided."
automated warehouse storage system,TRIZ,"automated warehouse storage system operation Stabilise parameter Position Close Packing A dense arrangement of equal spheres in an infinite, regular arrangement (or lattice). There are two simple regular lattices that achieve highest average density: face-centered cubic (also called cubic close packed) and hexagonal close-packed. Both are based upon sheets of spheres arranged at the vertices of a triangular tiling; they differ in how the sheets are stacked upon one another. Parameter",10000306,"Disclosed are container apparatuses that have variable volume capacity, which are useful, for example, as pack-off containers in operations involving manufactured articles. The container apparatuses can have vertically translatable bottom members to adjust volume capacity, and the bottom members can also be rotatable to facilitate the presentation of manufactured articles for removal. The vertically translatable bottom members can be suspended flexible sheet materials, portions of which can be raised or lowered to re-contour the shape of and adjust the volume capacity of the container apparatuses."
automated warehouse storage system,TRIZ,"automated warehouse storage system operation Stabilise parameter Position Close Packing A dense arrangement of equal spheres in an infinite, regular arrangement (or lattice). There are two simple regular lattices that achieve highest average density: face-centered cubic (also called cubic close packed) and hexagonal close-packed. Both are based upon sheets of spheres arranged at the vertices of a triangular tiling; they differ in how the sheets are stacked upon one another. Parameter",10000286,"An aircraft storage bin that includes an upper housing, a bucket that cooperates with the upper housing to define a bin interior and is pivotally connected to the upper housing, and at least a first assist spring having a spring force. The bucket is pivotable downwardly between a closed position and an open position and also can be positioned in an intermediate open position between the open and closed positions. The first assist spring is configured to maintain the bucket in the intermediate open position. When a downward force greater than the spring force is placed on the bucket, the bucket is configured to move from the intermediate open position to the open position."
automated warehouse storage system,TRIZ,"automated warehouse storage system operation Stabilise parameter Position Close Packing A dense arrangement of equal spheres in an infinite, regular arrangement (or lattice). There are two simple regular lattices that achieve highest average density: face-centered cubic (also called cubic close packed) and hexagonal close-packed. Both are based upon sheets of spheres arranged at the vertices of a triangular tiling; they differ in how the sheets are stacked upon one another. Parameter",10000288,"A laterally and recline adjustable aircraft passenger seat assembly including a seat, spaced forward and rear rails, a seat recline motion assembly attached to the seat and slidable along the length of the spaced forward and rear rails and including a first actuator dedicated for seat recline motion, and a lateral seat motion assembly disposed between the spaced forward and rear rails and including a second linear actuator dedicated for driving lateral motion of the seat recline motion assembly."
